wavelength_nm,T_total,R_total,closure,residual,transmitted_fraction_sum,order_normalization_residual,absolute_order_sum,absolute_order_sum_minus_T,eta_plus1_abs,eta_0_abs,eta_minus1_abs,non_target_efficiency,directionality,plus_minus_ratio,plus1_u_x,dominant_order
445.0,0.7764262482360513,0.2175192430790344,0.9939454913150857,0.006054508684914278,1.0,0.0,0.7764262482360513,0.0,0.6855683983084135,0.052171422724414156,0.00043945372066157753,0.09085784992763779,0.9987188084819678,1560.0468629013349,0.2557471264367816,1
445.99999999999994,0.7781393096847421,0.22415117368054416,1.0022904833652864,-0.0022904833652862555,1.0,0.0,0.7781393096847421,0.0,0.6810589234911786,0.05325513471018875,0.0005563920374156028,0.09708038619356352,0.9983674309401802,1224.0630305470288,0.25632183908045975,1
446.99999999999994,0.7687268099722041,0.2217853668983208,0.990512176870525,0.009487823129475104,1.0,0.0,0.7687268099722041,0.0,0.6733701921182706,0.04998538283919034,0.000684962632609076,0.09535661785393346,0.9979676362452499,983.0758059798841,0.2568965517241379,1
448.00000000000006,0.7790656993992268,0.2381051144214313,1.017170813820658,-0.017170813820658076,1.0,0.0,0.7790656993992268,0.0,0.6845426974172252,0.0431665533871221,0.0005371609521070114,0.09452300198200159,0.9984318296749066,1274.3716659450201,0.2574712643678161,1
449.0,0.747012992285637,0.3037701700332879,1.050783162318925,-0.05078316231892488,1.0,0.0,0.747012992285637,0.0,0.6085453573441088,0.06747189416047103,0.004994594044721895,0.13846763494152825,0.9837187650668356,121.84080465702658,0.25804597701149423,1
450.0,0.7354313228587809,0.266224210740428,1.0016555335992088,-0.0016555335992088915,1.0,0.0,0.7354313228587809,0.0,0.6204810884290136,0.051163005989474986,0.0026318677888973736,0.11495023442976726,0.9915525178456506,235.7569369732533,0.25862068965517243,1
450.9999999999999,0.7386240283276952,0.2567621538562581,0.9953861821839534,0.004613817816046639,0.9999999999999999,1.1102230246251565e-16,0.7386240283276951,-1.1102230246251565e-16,0.6254823927117923,0.04852626632910779,0.002921778331887485,0.11314163561590285,0.9907009581841736,214.0759228328342,0.2591954022988506,1
451.99999999999994,0.7574901318778142,0.24418248702559495,1.001672618903409,-0.0016726189034091676,0.9999999999999999,1.1102230246251565e-16,0.7574901318778141,-1.1102230246251565e-16,0.6503066812800768,0.045586092847400186,0.003974220064401896,0.10718345059773726,0.9878516396971538,163.63127122854618,0.2597701149425287,1
453.00000000000006,0.7524377903197703,0.24221899035068922,0.9946567806704596,0.005343219329540461,1.0,0.0,0.7524377903197703,0.0,0.6468568443029437,0.04229358081282003,0.0047932715778788125,0.10558094601682666,0.9852888184592745,134.95101076438488,0.26034482758620686,1
453.9999999999999,0.7653150441663599,0.2368790677348408,1.0021941119012006,-0.0021941119012006682,1.0000000000000002,-2.220446049250313e-16,0.7653150441663601,2.220446049250313e-16,0.6616594309308594,0.03983740285824319,0.0058041108521868735,0.10365561323550065,0.9826084557766798,113.99841384517309,0.260919540229885,1
455.00000000000006,0.7640846763133593,0.2314616419042948,0.995546318217654,0.004453681782345897,1.0,0.0,0.7640846763133593,0.0,0.6628273056347306,0.037233493728846594,0.006985613498373377,0.10125737067862872,0.9791415982020342,94.88462334612015,0.26149425287356326,1
