variant_id,case_id,step,status,detail
axis_x_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,set axis_x_absolute_interfaces_11_TiO2.x,ok,None
axis_x_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,set axis_x_absolute_interfaces_11_TiO2.y,ok,None
axis_x_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,set axis_x_absolute_interfaces_11_TiO2.z,ok,None
axis_x_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,set axis_x_absolute_interfaces_11_TiO2.x span,ok,None
axis_x_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,set axis_x_absolute_interfaces_11_TiO2.y span,ok,None
axis_x_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,set axis_x_absolute_interfaces_11_TiO2.z span,ok,None
axis_x_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,add layer axis_x_absolute_interfaces_12_SiO2,ok,<lumapi.SimObject object at 0x00000184A3A04430>
axis_x_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,name layer axis_x_absolute_interfaces_12_SiO2,ok,None
axis_x_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,set axis_x_absolute_interfaces_12_SiO2.material,ok,None
axis_x_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,set axis_x_absolute_interfaces_12_SiO2.index,ok,None
axis_x_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,set axis_x_absolute_interfaces_12_SiO2.x,ok,None
axis_x_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,set axis_x_absolute_interfaces_12_SiO2.y,ok,None
axis_x_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,set axis_x_absolute_interfaces_12_SiO2.z,ok,None
axis_x_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,set axis_x_absolute_interfaces_12_SiO2.x span,ok,None
axis_x_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,set axis_x_absolute_interfaces_12_SiO2.y span,ok,None
axis_x_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,set axis_x_absolute_interfaces_12_SiO2.z span,ok,None
axis_x_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,add layer axis_x_absolute_interfaces_13_TiO2,ok,<lumapi.SimObject object at 0x00000184A3A04430>
axis_x_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,name layer axis_x_absolute_interfaces_13_TiO2,ok,None
axis_x_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,set axis_x_absolute_interfaces_13_TiO2.material,ok,None
axis_x_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,set axis_x_absolute_interfaces_13_TiO2.index,ok,None
axis_x_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,set axis_x_absolute_interfaces_13_TiO2.x,ok,None
axis_x_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,set axis_x_absolute_interfaces_13_TiO2.y,ok,None
axis_x_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,set axis_x_absolute_interfaces_13_TiO2.z,ok,None
axis_x_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,set axis_x_absolute_interfaces_13_TiO2.x span,ok,None
axis_x_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,set axis_x_absolute_interfaces_13_TiO2.y span,ok,None
axis_x_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,set axis_x_absolute_interfaces_13_TiO2.z span,ok,None
axis_x_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,add layer axis_x_absolute_interfaces_14_SiO2,ok,<lumapi.SimObject object at 0x00000184A3A04430>
axis_x_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,name layer axis_x_absolute_interfaces_14_SiO2,ok,None
axis_x_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,set axis_x_absolute_interfaces_14_SiO2.material,ok,None
axis_x_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,set axis_x_absolute_interfaces_14_SiO2.index,ok,None
axis_x_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,set axis_x_absolute_interfaces_14_SiO2.x,ok,None
axis_x_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,set axis_x_absolute_interfaces_14_SiO2.y,ok,None
axis_x_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,set axis_x_absolute_interfaces_14_SiO2.z,ok,None
axis_x_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,set axis_x_absolute_interfaces_14_SiO2.x span,ok,None
axis_x_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,set axis_x_absolute_interfaces_14_SiO2.y span,ok,None
axis_x_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,set axis_x_absolute_interfaces_14_SiO2.z span,ok,None
axis_x_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,add layer axis_x_absolute_interfaces_15_TiO2,ok,<lumapi.SimObject object at 0x00000184A3A04430>
axis_x_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,name layer axis_x_absolute_interfaces_15_TiO2,ok,None
axis_x_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,set axis_x_absolute_interfaces_15_TiO2.material,ok,None
axis_x_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,set axis_x_absolute_interfaces_15_TiO2.index,ok,None
axis_x_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,set axis_x_absolute_interfaces_15_TiO2.x,ok,None
axis_x_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,set axis_x_absolute_interfaces_15_TiO2.y,ok,None
axis_x_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,set axis_x_absolute_interfaces_15_TiO2.z,ok,None
axis_x_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,set axis_x_absolute_interfaces_15_TiO2.x span,ok,None
axis_x_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,set axis_x_absolute_interfaces_15_TiO2.y span,ok,None
axis_x_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,set axis_x_absolute_interfaces_15_TiO2.z span,ok,None
axis_x_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,add layer axis_x_absolute_interfaces_16_SiO2,ok,<lumapi.SimObject object at 0x00000184A3A04430>
axis_x_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,name layer axis_x_absolute_interfaces_16_SiO2,ok,None
axis_x_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,set axis_x_absolute_interfaces_16_SiO2.material,ok,None
axis_x_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,set axis_x_absolute_interfaces_16_SiO2.index,ok,None
axis_x_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,set axis_x_absolute_interfaces_16_SiO2.x,ok,None
axis_x_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,set axis_x_absolute_interfaces_16_SiO2.y,ok,None
axis_x_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,set axis_x_absolute_interfaces_16_SiO2.z,ok,None
axis_x_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,set axis_x_absolute_interfaces_16_SiO2.x span,ok,None
axis_x_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,set axis_x_absolute_interfaces_16_SiO2.y span,ok,None
axis_x_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,set axis_x_absolute_interfaces_16_SiO2.z span,ok,None
axis_x_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,add layer axis_x_absolute_interfaces_17_TiO2,ok,<lumapi.SimObject object at 0x00000184A3A04430>
axis_x_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,name layer axis_x_absolute_interfaces_17_TiO2,ok,None
axis_x_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,set axis_x_absolute_interfaces_17_TiO2.material,ok,None
axis_x_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,set axis_x_absolute_interfaces_17_TiO2.index,ok,None
axis_x_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,set axis_x_absolute_interfaces_17_TiO2.x,ok,None
axis_x_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,set axis_x_absolute_interfaces_17_TiO2.y,ok,None
axis_x_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,set axis_x_absolute_interfaces_17_TiO2.z,ok,None
axis_x_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,set axis_x_absolute_interfaces_17_TiO2.x span,ok,None
axis_x_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,set axis_x_absolute_interfaces_17_TiO2.y span,ok,None
axis_x_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,set axis_x_absolute_interfaces_17_TiO2.z span,ok,None
axis_x_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,add layer axis_x_absolute_interfaces_18_SiO2,ok,<lumapi.SimObject object at 0x00000184A3A04430>
axis_x_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,name layer axis_x_absolute_interfaces_18_SiO2,ok,None
axis_x_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,set axis_x_absolute_interfaces_18_SiO2.material,ok,None
axis_x_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,set axis_x_absolute_interfaces_18_SiO2.index,ok,None
axis_x_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,set axis_x_absolute_interfaces_18_SiO2.x,ok,None
axis_x_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,set axis_x_absolute_interfaces_18_SiO2.y,ok,None
axis_x_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,set axis_x_absolute_interfaces_18_SiO2.z,ok,None
axis_x_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,set axis_x_absolute_interfaces_18_SiO2.x span,ok,None
axis_x_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,set axis_x_absolute_interfaces_18_SiO2.y span,ok,None
axis_x_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,set axis_x_absolute_interfaces_18_SiO2.z span,ok,None
axis_x_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,add layer axis_x_absolute_interfaces_19_TiO2,ok,<lumapi.SimObject object at 0x00000184A3A04430>
axis_x_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,name layer axis_x_absolute_interfaces_19_TiO2,ok,None
axis_x_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,set axis_x_absolute_interfaces_19_TiO2.material,ok,None
axis_x_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,set axis_x_absolute_interfaces_19_TiO2.index,ok,None
axis_x_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,set axis_x_absolute_interfaces_19_TiO2.x,ok,None
axis_x_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,set axis_x_absolute_interfaces_19_TiO2.y,ok,None
axis_x_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,set axis_x_absolute_interfaces_19_TiO2.z,ok,None
axis_x_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,set axis_x_absolute_interfaces_19_TiO2.x span,ok,None
axis_x_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,set axis_x_absolute_interfaces_19_TiO2.y span,ok,None
axis_x_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,set axis_x_absolute_interfaces_19_TiO2.z span,ok,None
axis_x_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,add layer axis_x_absolute_interfaces_20_SiO2,ok,<lumapi.SimObject object at 0x00000184A3A04430>
axis_x_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,name layer axis_x_absolute_interfaces_20_SiO2,ok,None
axis_x_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,set axis_x_absolute_interfaces_20_SiO2.material,ok,None
axis_x_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,set axis_x_absolute_interfaces_20_SiO2.index,ok,None
axis_x_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,set axis_x_absolute_interfaces_20_SiO2.x,ok,None
axis_x_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,set axis_x_absolute_interfaces_20_SiO2.y,ok,None
axis_x_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,set axis_x_absolute_interfaces_20_SiO2.z,ok,None
axis_x_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,set axis_x_absolute_interfaces_20_SiO2.x span,ok,None
axis_x_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,set axis_x_absolute_interfaces_20_SiO2.y span,ok,None
axis_x_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,set axis_x_absolute_interfaces_20_SiO2.z span,ok,None
axis_x_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,run_tiny_rcwa,ok,None
axis_x_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,discover getresult names,ok,"x
y
z
num_k
peak_memory
simulation_run_time
total_threads
total_energy
substrate"
axis_x_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,getresult total_energy,ok,"{""lambda"": ""[[4.53e-07]]"", ""f"": ""[[6.61793506e+14]]"", ""theta"": ""[[0.]]"", ""phi"": ""[[0.]]"", ""Rs"": ""[[0.06518991]]"", ""Ts"": ""[[0.93481009]]"", ""Rp"": ""[[0.06314752]]"", ""Tp"": ""[[0.93685248]]"", ""Lumerical_dataset"": {""parameters"": [[""lambda"", ""f""], [""theta"", ""phi""]], ""attributes"": [""Rs"", ""Ts"", ""Rp"", ""Tp""]}}"
axis_x_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,getresult substrate,ok,"{""lambda"": ""[[4.53e-07]]"", ""f"": ""[[6.61793506e+14]]"", ""n_upper"": ""[1.34629239+0.j]"", ""n_lower"": ""[1.34629239+0.j]"", ""Lumerical_dataset"": {""parameters"": [[""lambda"", ""f""]], ""attributes"": [""n_upper"", ""n_lower""]}}"
axis_x_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,getresult simulation_run_time,ok,0.6424649
axis_x_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,close_lumerical_session,ok,None
axis_z_absolute_interfaces,air_reference,open_lumerical_session,ok,blank project; no H1J4 FSP
axis_z_absolute_interfaces,air_reference,switch_to_layout,ok,None
axis_z_absolute_interfaces,air_reference,addrcwa,ok,None
axis_z_absolute_interfaces,air_reference,set RCWA.x,ok,None
axis_z_absolute_interfaces,air_reference,set RCWA.y,ok,None
axis_z_absolute_interfaces,air_reference,set RCWA.z,ok,None
axis_z_absolute_interfaces,air_reference,set RCWA.x span,ok,None
axis_z_absolute_interfaces,air_reference,set RCWA.y span,ok,None
axis_z_absolute_interfaces,air_reference,set RCWA.z span,ok,None
axis_z_absolute_interfaces,air_reference,set RCWA.minimum wavelength,ok,None
axis_z_absolute_interfaces,air_reference,set RCWA.maximum wavelength,ok,None
axis_z_absolute_interfaces,air_reference,set RCWA.wavelength center,ok,None
axis_z_absolute_interfaces,air_reference,set RCWA.frequency points,ok,None
axis_z_absolute_interfaces,air_reference,set RCWA.angle theta,ok,None
axis_z_absolute_interfaces,air_reference,set RCWA.angle phi,ok,None
axis_z_absolute_interfaces,air_reference,set RCWA.background material,ok,None
axis_z_absolute_interfaces,air_reference,set RCWA.background index,failed,"LumApiError: ""in setnamed, the requested property 'background index'  was not found"""
axis_z_absolute_interfaces,air_reference,run_tiny_rcwa,ok,None
axis_z_absolute_interfaces,air_reference,discover getresult names,ok,"x
y
z
num_k
peak_memory
simulation_run_time
total_threads
total_energy
substrate"
axis_z_absolute_interfaces,air_reference,getresult total_energy,ok,"{""lambda"": ""[[4.53e-07]]"", ""f"": ""[[6.61793506e+14]]"", ""theta"": ""[[0.]]"", ""phi"": ""[[0.]]"", ""Rs"": ""[[-0.]]"", ""Ts"": ""[[1.]]"", ""Rp"": ""[[-0.]]"", ""Tp"": ""[[1.]]"", ""Lumerical_dataset"": {""parameters"": [[""lambda"", ""f""], [""theta"", ""phi""]], ""attributes"": [""Rs"", ""Ts"", ""Rp"", ""Tp""]}}"
axis_z_absolute_interfaces,air_reference,getresult substrate,ok,"{""lambda"": ""[[4.53e-07]]"", ""f"": ""[[6.61793506e+14]]"", ""n_upper"": ""[1.+0.j]"", ""n_lower"": ""[1.+0.j]"", ""Lumerical_dataset"": {""parameters"": [[""lambda"", ""f""]], ""attributes"": [""n_upper"", ""n_lower""]}}"
axis_z_absolute_interfaces,air_reference,getresult simulation_run_time,ok,0.0411981
axis_z_absolute_interfaces,air_reference,close_lumerical_session,ok,None
axis_z_absolute_interfaces,single_SiO2_79nm,open_lumerical_session,ok,blank project; no H1J4 FSP
axis_z_absolute_interfaces,single_SiO2_79nm,switch_to_layout,ok,None
axis_z_absolute_interfaces,single_SiO2_79nm,addrcwa,ok,None
axis_z_absolute_interfaces,single_SiO2_79nm,set RCWA.x,ok,None
axis_z_absolute_interfaces,single_SiO2_79nm,set RCWA.y,ok,None
axis_z_absolute_interfaces,single_SiO2_79nm,set RCWA.z,ok,None
axis_z_absolute_interfaces,single_SiO2_79nm,set RCWA.x span,ok,None
axis_z_absolute_interfaces,single_SiO2_79nm,set RCWA.y span,ok,None
axis_z_absolute_interfaces,single_SiO2_79nm,set RCWA.z span,ok,None
axis_z_absolute_interfaces,single_SiO2_79nm,set RCWA.minimum wavelength,ok,None
axis_z_absolute_interfaces,single_SiO2_79nm,set RCWA.maximum wavelength,ok,None
axis_z_absolute_interfaces,single_SiO2_79nm,set RCWA.wavelength center,ok,None
axis_z_absolute_interfaces,single_SiO2_79nm,set RCWA.frequency points,ok,None
axis_z_absolute_interfaces,single_SiO2_79nm,set RCWA.angle theta,ok,None
axis_z_absolute_interfaces,single_SiO2_79nm,set RCWA.angle phi,ok,None
axis_z_absolute_interfaces,single_SiO2_79nm,set RCWA.background material,ok,None
axis_z_absolute_interfaces,single_SiO2_79nm,set RCWA.background index,failed,"LumApiError: ""in setnamed, the requested property 'background index'  was not found"""
axis_z_absolute_interfaces,single_SiO2_79nm,set interface absolute positions,ok,None
axis_z_absolute_interfaces,single_SiO2_79nm,get interface absolute positions,ok,"[[-3.95e-08], [3.95e-08]]"
axis_z_absolute_interfaces,single_SiO2_79nm,add layer axis_z_absolute_interfaces_01_SiO2,ok,<lumapi.SimObject object at 0x00000184A3A051B0>
axis_z_absolute_interfaces,single_SiO2_79nm,name layer axis_z_absolute_interfaces_01_SiO2,ok,None
axis_z_absolute_interfaces,single_SiO2_79nm,set axis_z_absolute_interfaces_01_SiO2.material,ok,None
axis_z_absolute_interfaces,single_SiO2_79nm,set axis_z_absolute_interfaces_01_SiO2.index,ok,None
axis_z_absolute_interfaces,single_SiO2_79nm,set axis_z_absolute_interfaces_01_SiO2.x,ok,None
axis_z_absolute_interfaces,single_SiO2_79nm,set axis_z_absolute_interfaces_01_SiO2.y,ok,None
axis_z_absolute_interfaces,single_SiO2_79nm,set axis_z_absolute_interfaces_01_SiO2.z,ok,None
axis_z_absolute_interfaces,single_SiO2_79nm,set axis_z_absolute_interfaces_01_SiO2.x span,ok,None
axis_z_absolute_interfaces,single_SiO2_79nm,set axis_z_absolute_interfaces_01_SiO2.y span,ok,None
axis_z_absolute_interfaces,single_SiO2_79nm,set axis_z_absolute_interfaces_01_SiO2.z span,ok,None
axis_z_absolute_interfaces,single_SiO2_79nm,run_tiny_rcwa,ok,None
axis_z_absolute_interfaces,single_SiO2_79nm,discover getresult names,ok,"x
y
z
num_k
peak_memory
simulation_run_time
total_threads
total_energy
substrate"
axis_z_absolute_interfaces,single_SiO2_79nm,getresult total_energy,ok,"{""lambda"": ""[[4.53e-07]]"", ""f"": ""[[6.61793506e+14]]"", ""theta"": ""[[0.]]"", ""phi"": ""[[0.]]"", ""Rs"": ""[[0.1160629]]"", ""Ts"": ""[[0.8839371]]"", ""Rp"": ""[[0.1160629]]"", ""Tp"": ""[[0.8839371]]"", ""Lumerical_dataset"": {""parameters"": [[""lambda"", ""f""], [""theta"", ""phi""]], ""attributes"": [""Rs"", ""Ts"", ""Rp"", ""Tp""]}}"
axis_z_absolute_interfaces,single_SiO2_79nm,getresult substrate,ok,"{""lambda"": ""[[4.53e-07]]"", ""f"": ""[[6.61793506e+14]]"", ""n_upper"": ""[1.+0.j]"", ""n_lower"": ""[1.+0.j]"", ""Lumerical_dataset"": {""parameters"": [[""lambda"", ""f""]], ""attributes"": [""n_upper"", ""n_lower""]}}"
axis_z_absolute_interfaces,single_SiO2_79nm,getresult simulation_run_time,ok,0.0456427
axis_z_absolute_interfaces,single_SiO2_79nm,close_lumerical_session,ok,None
axis_z_absolute_interfaces,single_TiO2_45nm,open_lumerical_session,ok,blank project; no H1J4 FSP
axis_z_absolute_interfaces,single_TiO2_45nm,switch_to_layout,ok,None
axis_z_absolute_interfaces,single_TiO2_45nm,addrcwa,ok,None
axis_z_absolute_interfaces,single_TiO2_45nm,set RCWA.x,ok,None
axis_z_absolute_interfaces,single_TiO2_45nm,set RCWA.y,ok,None
axis_z_absolute_interfaces,single_TiO2_45nm,set RCWA.z,ok,None
axis_z_absolute_interfaces,single_TiO2_45nm,set RCWA.x span,ok,None
axis_z_absolute_interfaces,single_TiO2_45nm,set RCWA.y span,ok,None
axis_z_absolute_interfaces,single_TiO2_45nm,set RCWA.z span,ok,None
axis_z_absolute_interfaces,single_TiO2_45nm,set RCWA.minimum wavelength,ok,None
axis_z_absolute_interfaces,single_TiO2_45nm,set RCWA.maximum wavelength,ok,None
axis_z_absolute_interfaces,single_TiO2_45nm,set RCWA.wavelength center,ok,None
axis_z_absolute_interfaces,single_TiO2_45nm,set RCWA.frequency points,ok,None
axis_z_absolute_interfaces,single_TiO2_45nm,set RCWA.angle theta,ok,None
axis_z_absolute_interfaces,single_TiO2_45nm,set RCWA.angle phi,ok,None
axis_z_absolute_interfaces,single_TiO2_45nm,set RCWA.background material,ok,None
axis_z_absolute_interfaces,single_TiO2_45nm,set RCWA.background index,failed,"LumApiError: ""in setnamed, the requested property 'background index'  was not found"""
axis_z_absolute_interfaces,single_TiO2_45nm,set interface absolute positions,ok,None
axis_z_absolute_interfaces,single_TiO2_45nm,get interface absolute positions,ok,"[[-2.2500000000000003e-08], [2.2500000000000003e-08]]"
axis_z_absolute_interfaces,single_TiO2_45nm,add layer axis_z_absolute_interfaces_01_TiO2,ok,<lumapi.SimObject object at 0x00000184A3A057E0>
axis_z_absolute_interfaces,single_TiO2_45nm,name layer axis_z_absolute_interfaces_01_TiO2,ok,None
axis_z_absolute_interfaces,single_TiO2_45nm,set axis_z_absolute_interfaces_01_TiO2.material,ok,None
axis_z_absolute_interfaces,single_TiO2_45nm,set axis_z_absolute_interfaces_01_TiO2.index,ok,None
axis_z_absolute_interfaces,single_TiO2_45nm,set axis_z_absolute_interfaces_01_TiO2.x,ok,None
axis_z_absolute_interfaces,single_TiO2_45nm,set axis_z_absolute_interfaces_01_TiO2.y,ok,None
axis_z_absolute_interfaces,single_TiO2_45nm,set axis_z_absolute_interfaces_01_TiO2.z,ok,None
axis_z_absolute_interfaces,single_TiO2_45nm,set axis_z_absolute_interfaces_01_TiO2.x span,ok,None
axis_z_absolute_interfaces,single_TiO2_45nm,set axis_z_absolute_interfaces_01_TiO2.y span,ok,None
axis_z_absolute_interfaces,single_TiO2_45nm,set axis_z_absolute_interfaces_01_TiO2.z span,ok,None
axis_z_absolute_interfaces,single_TiO2_45nm,run_tiny_rcwa,ok,None
axis_z_absolute_interfaces,single_TiO2_45nm,discover getresult names,ok,"x
y
z
num_k
peak_memory
simulation_run_time
total_threads
total_energy
substrate"
axis_z_absolute_interfaces,single_TiO2_45nm,getresult total_energy,ok,"{""lambda"": ""[[4.53e-07]]"", ""f"": ""[[6.61793506e+14]]"", ""theta"": ""[[0.]]"", ""phi"": ""[[0.]]"", ""Rs"": ""[[0.53386676]]"", ""Ts"": ""[[0.46613324]]"", ""Rp"": ""[[0.53386676]]"", ""Tp"": ""[[0.46613324]]"", ""Lumerical_dataset"": {""parameters"": [[""lambda"", ""f""], [""theta"", ""phi""]], ""attributes"": [""Rs"", ""Ts"", ""Rp"", ""Tp""]}}"
axis_z_absolute_interfaces,single_TiO2_45nm,getresult substrate,ok,"{""lambda"": ""[[4.53e-07]]"", ""f"": ""[[6.61793506e+14]]"", ""n_upper"": ""[1.+0.j]"", ""n_lower"": ""[1.+0.j]"", ""Lumerical_dataset"": {""parameters"": [[""lambda"", ""f""]], ""attributes"": [""n_upper"", ""n_lower""]}}"
axis_z_absolute_interfaces,single_TiO2_45nm,getresult simulation_run_time,ok,0.0507158
axis_z_absolute_interfaces,single_TiO2_45nm,close_lumerical_session,ok,None
axis_z_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,open_lumerical_session,ok,blank project; no H1J4 FSP
axis_z_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,switch_to_layout,ok,None
axis_z_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,addrcwa,ok,None
axis_z_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,set RCWA.x,ok,None
axis_z_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,set RCWA.y,ok,None
axis_z_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,set RCWA.z,ok,None
axis_z_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,set RCWA.x span,ok,None
axis_z_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,set RCWA.y span,ok,None
axis_z_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,set RCWA.z span,ok,None
axis_z_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,set RCWA.minimum wavelength,ok,None
axis_z_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,set RCWA.maximum wavelength,ok,None
axis_z_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,set RCWA.wavelength center,ok,None
axis_z_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,set RCWA.frequency points,ok,None
axis_z_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,set RCWA.angle theta,ok,None
axis_z_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,set RCWA.angle phi,ok,None
axis_z_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,set RCWA.background material,ok,None
axis_z_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,set RCWA.background index,failed,"LumApiError: ""in setnamed, the requested property 'background index'  was not found"""
axis_z_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,set interface absolute positions,ok,None
