model,variant,case_id,geometry_id,polarization,wavelength_nm,pred_R,pred_eta_m-3,pred_eta_m-2,pred_eta_m-1,pred_eta_m+0,pred_eta_m+1,pred_eta_m+2,pred_eta_m+3,pred_T_derived
LF_only_frozen,raw,NP_K6_M2_BATCH1_G01_P,K6X_D200_D205_D215_D220_D225_D230,p,445,nan,0.05699853599071503,0.016768399626016617,0.09304876625537872,0.586542546749115,0.03473886847496033,0.1549042910337448,0.05699853599071503,0.9999999441206455
LF_only_frozen,raw,NP_K6_M2_BATCH1_G01_P,K6X_D200_D205_D215_D220_D225_D230,p,446,nan,0.0700925812125206,0.01686960458755493,0.07257375121116638,0.5264216065406799,0.038024190813302994,0.20592571794986725,0.0700925812125206,1.0000000335276127
LF_only_frozen,raw,NP_K6_M2_BATCH1_G01_P,K6X_D200_D205_D215_D220_D225_D230,p,447,nan,0.08878478407859802,0.009109044447541237,0.0057830787263810635,0.6128635406494141,0.059640079736709595,0.13503466546535492,0.08878478407859802,0.9999999771825969
LF_only_frozen,raw,NP_K6_M2_BATCH1_G01_P,K6X_D200_D205_D215_D220_D225_D230,p,448,nan,0.023166878148913383,0.03890002518892288,0.02417442575097084,0.7894349098205566,0.006904751528054476,0.09425216913223267,0.023166878148913383,1.0000000377185643
LF_only_frozen,raw,NP_K6_M2_BATCH1_G01_P,K6X_D200_D205_D215_D220_D225_D230,p,449,nan,0.012471954338252544,0.04209396615624428,0.026263367384672165,0.8013957738876343,0.0005385062540881336,0.10476444661617279,0.012471954338252544,0.9999999689753167
LF_only_frozen,raw,NP_K6_M2_BATCH1_G01_P,K6X_D200_D205_D215_D220_D225_D230,p,450,nan,0.010742067359387875,0.040032096207141876,0.02843751385807991,0.7968879342079163,0.00011649888620013371,0.11304181069135666,0.010742067359387875,0.9999999885694706
LF_only_frozen,raw,NP_K6_M2_BATCH1_G01_P,K6X_D200_D205_D215_D220_D225_D230,p,451,nan,0.01294422335922718,0.034320197999477386,0.036992449313402176,0.7777804732322693,0.001670177560299635,0.12334822118282318,0.01294422335922718,0.999999966006726
LF_only_frozen,raw,NP_K6_M2_BATCH1_G01_P,K6X_D200_D205_D215_D220_D225_D230,p,452,nan,0.019787436351180077,0.025580039247870445,0.05385163798928261,0.739241898059845,0.007031895220279694,0.13471965491771698,0.019787436351180077,0.9999999981373549
LF_only_frozen,raw,NP_K6_M2_BATCH1_G01_P,K6X_D200_D205_D215_D220_D225_D230,p,453,nan,0.028099488466978073,0.01328070368617773,0.07745660096406937,0.6951984167098999,0.018808070570230484,0.13905714452266693,0.028099488466978073,0.9999999133870006
LF_only_frozen,raw,NP_K6_M2_BATCH1_G01_P,K6X_D200_D205_D215_D220_D225_D230,p,454,nan,0.0389723926782608,0.00868094153702259,0.1062052994966507,0.64372718334198,0.030744966119527817,0.13269683718681335,0.0389723926782608,1.000000013038516
LF_only_frozen,raw,NP_K6_M2_BATCH1_G01_P,K6X_D200_D205_D215_D220_D225_D230,p,455,nan,0.13419079780578613,0.04778629541397095,0.11609411984682083,0.5025781989097595,0.0038242421578615904,0.06133561208844185,0.13419079780578613,1.000000064028427
LF_only_frozen,raw,NP_K6_M2_BATCH1_G01_S,K6X_D200_D205_D215_D220_D225_D230,s,445,nan,0.05699853599071503,0.016768399626016617,0.09304876625537872,0.586542546749115,0.03473886847496033,0.1549042910337448,0.05699853599071503,0.9999999441206455
