candidate_id,phase_deg,Txx,Tyy,cross_power,sigma2_over_sigma1,off_axis_fraction,x_alignment
POSTD8_QMAP_WM_DM_PM,82.1381247690397,0.980168262891763,0.11122215013661048,5.711550161210668e-17,0.3368568049865566,5.2332786627310996e-17,1.0
POSTD8_QMAP_WM_DM_P0,81.68069726973788,0.9680586766799347,0.11223238707592252,2.332970523858403e-06,0.3404933383076384,2.1595712154938786e-06,0.9999987961334469
POSTD8_QMAP_WM_DM_PP,82.76966965495666,0.9843915877000079,0.1063902194576574,9.165638887851601e-07,0.3287503015261721,8.402808999926303e-07,0.9999995348852171
POSTD8_QMAP_WM_DP_PM,83.38424777551585,0.9744614016205254,0.10191974031923341,5.602175915407904e-17,0.32340507707073896,5.2046395994193644e-17,1.0
POSTD8_QMAP_WM_DP_P0,81.2159024857041,0.9791860940494634,0.10841826528934041,3.879730054601884e-06,0.33275140861625313,3.567212820972617e-06,0.9999980228379519
POSTD8_QMAP_WM_DP_PP,83.0138914553287,0.9793095686569105,0.10637734613370028,3.51647841680727e-07,0.3295826064872004,3.238942304576266e-07,0.9999998208869936
POSTD8_QMAP_W0_DM_PM,81.91925226954814,0.973404406000589,0.10556898880494946,2.4598778914130506e-09,0.32932259405195335,2.279831826852675e-09,0.9999999987516706
POSTD8_QMAP_W0_DM_P0,81.92359873103878,0.9738392124090568,0.10524610768785692,5.995204319760812e-07,0.32874527606735715,5.555817392081964e-07,0.9999996793866984
POSTD8_QMAP_W0_DM_PP,81.94985732491838,0.9748871613198569,0.10422367509030338,2.7359794798800777e-06,0.32696928045790113,2.5353953002568536e-06,0.999998552182344
POSTD8_QMAP_W0_D0_P0,81.83209368524963,0.9803282054097863,0.10382120479854762,1.537912125331463e-06,0.32542967839033604,1.4185405897561296e-06,0.9999992030123709
POSTD8_QMAP_W0_D0_PP,81.90092005051851,0.9801855991271612,0.1027592884842615,3.2382385029119486e-06,0.3237846115666695,2.9902064795305828e-06,0.9999983236890979
POSTD8_QMAP_W0_DP_PM,81.88204070395594,0.981261458577655,0.10277475387726132,1.8206479584845546e-09,0.32363154807574357,1.6795084283242797e-09,0.9999999990581586
POSTD8_QMAP_W0_DP_P0,81.90355421820131,0.9806944525960892,0.10245004981623161,4.787948375080402e-07,0.3232131381347062,4.4204132024359866e-07,0.9999997523922755
POSTD8_QMAP_W0_DP_PP,81.96163746767638,0.9787300257745143,0.1014411066280385,2.112776473322342e-06,0.3219397542969756,1.9559607523626215e-06,0.9999989136493687
POSTD8_QMAP_WP_DM_PM,83.3909028383655,0.9768751966102096,0.10157449401387007,4.313892969769509e-07,0.32245731402229666,4.0000857542821074e-07,0.9999997876750915
POSTD8_QMAP_WP_DM_P0,82.55591756316593,0.9833881872071002,0.10001449235477256,1.600147133636765e-06,0.3189098608038132,1.4769621678682601e-06,0.9999992029343746
POSTD8_QMAP_WP_DM_PP,82.9016431841621,0.9823666132265115,0.10669756307081033,3.810005084920579e-17,0.3295645219460173,3.49842109201875e-17,1.0
POSTD8_QMAP_WP_D0_P0,82.57998639367311,0.9816069781783847,0.09873291023699277,8.924481349940574e-07,0.3171474534346893,8.260802061741359e-07,0.9999995609029326
POSTD8_QMAP_WP_D0_PP,82.63727196569766,0.9815419555774425,0.09761526418147484,2.695674751014614e-06,0.3153560350955787,2.4979381762260293e-06,0.9999986771124506
POSTD8_QMAP_WP_DP_PM,82.03018419230494,0.9780293823351156,0.1110015062876845,3.876948361596674e-06,0.33689122752633405,3.559985855514305e-06,0.9999980298794136
POSTD8_QMAP_WP_DP_P0,82.45435489413802,0.9750299715623636,0.09747346001353885,1.3001132030049788e-06,0.3161787797024404,1.2122214145921849e-06,0.9999993512447268
POSTD8_QMAP_WP_DP_PP,82.3366078516424,0.9813901787040578,0.11101004124119114,2.991049747291905e-06,0.3363264428038453,2.738045546907136e-06,0.9999984845726695
