candidate_id,perturbation_family,d_nm,theta_deg,psi_deg,J1_L_nm,J1_W_nm,J2_L_nm,J2_W_nm,wavelength_nm,input_linear_basis,expected_output_fsp_path,extraction_output_path,fresh_run
BW2_J1J2_D189_T90_PSI97_H525,BW2-A d micro-perturbation,189.0,90.0,97.0,230.0,100.0,180.0,90.0,448.0,x,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\_planned_fsp_not_run\BW2_J1J2_D189_T90_PSI97_H525\BW2_J1J2_D189_T90_PSI97_H525_448NM_XIN.fsp,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\per_case_extract\BW2_J1J2_D189_T90_PSI97_H525\448nm_x.json,planned_true_not_run
BW2_J1J2_D189_T90_PSI97_H525,BW2-A d micro-perturbation,189.0,90.0,97.0,230.0,100.0,180.0,90.0,448.0,y,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\_planned_fsp_not_run\BW2_J1J2_D189_T90_PSI97_H525\BW2_J1J2_D189_T90_PSI97_H525_448NM_YIN.fsp,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\per_case_extract\BW2_J1J2_D189_T90_PSI97_H525\448nm_y.json,planned_true_not_run
BW2_J1J2_D189_T90_PSI97_H525,BW2-A d micro-perturbation,189.0,90.0,97.0,230.0,100.0,180.0,90.0,450.0,x,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\_planned_fsp_not_run\BW2_J1J2_D189_T90_PSI97_H525\BW2_J1J2_D189_T90_PSI97_H525_450NM_XIN.fsp,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\per_case_extract\BW2_J1J2_D189_T90_PSI97_H525\450nm_x.json,planned_true_not_run
BW2_J1J2_D189_T90_PSI97_H525,BW2-A d micro-perturbation,189.0,90.0,97.0,230.0,100.0,180.0,90.0,450.0,y,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\_planned_fsp_not_run\BW2_J1J2_D189_T90_PSI97_H525\BW2_J1J2_D189_T90_PSI97_H525_450NM_YIN.fsp,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\per_case_extract\BW2_J1J2_D189_T90_PSI97_H525\450nm_y.json,planned_true_not_run
BW2_J1J2_D189_T90_PSI97_H525,BW2-A d micro-perturbation,189.0,90.0,97.0,230.0,100.0,180.0,90.0,452.0,x,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\_planned_fsp_not_run\BW2_J1J2_D189_T90_PSI97_H525\BW2_J1J2_D189_T90_PSI97_H525_452NM_XIN.fsp,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\per_case_extract\BW2_J1J2_D189_T90_PSI97_H525\452nm_x.json,planned_true_not_run
BW2_J1J2_D189_T90_PSI97_H525,BW2-A d micro-perturbation,189.0,90.0,97.0,230.0,100.0,180.0,90.0,452.0,y,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\_planned_fsp_not_run\BW2_J1J2_D189_T90_PSI97_H525\BW2_J1J2_D189_T90_PSI97_H525_452NM_YIN.fsp,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\per_case_extract\BW2_J1J2_D189_T90_PSI97_H525\452nm_y.json,planned_true_not_run
BW2_J1J2_D189_T90_PSI97_H525,BW2-A d micro-perturbation,189.0,90.0,97.0,230.0,100.0,180.0,90.0,453.0,x,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\_planned_fsp_not_run\BW2_J1J2_D189_T90_PSI97_H525\BW2_J1J2_D189_T90_PSI97_H525_453NM_XIN.fsp,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\per_case_extract\BW2_J1J2_D189_T90_PSI97_H525\453nm_x.json,planned_true_not_run
BW2_J1J2_D189_T90_PSI97_H525,BW2-A d micro-perturbation,189.0,90.0,97.0,230.0,100.0,180.0,90.0,453.0,y,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\_planned_fsp_not_run\BW2_J1J2_D189_T90_PSI97_H525\BW2_J1J2_D189_T90_PSI97_H525_453NM_YIN.fsp,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\per_case_extract\BW2_J1J2_D189_T90_PSI97_H525\453nm_y.json,planned_true_not_run
BW2_J1J2_D189_T90_PSI97_H525,BW2-A d micro-perturbation,189.0,90.0,97.0,230.0,100.0,180.0,90.0,454.0,x,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\_planned_fsp_not_run\BW2_J1J2_D189_T90_PSI97_H525\BW2_J1J2_D189_T90_PSI97_H525_454NM_XIN.fsp,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\per_case_extract\BW2_J1J2_D189_T90_PSI97_H525\454nm_x.json,planned_true_not_run
BW2_J1J2_D189_T90_PSI97_H525,BW2-A d micro-perturbation,189.0,90.0,97.0,230.0,100.0,180.0,90.0,454.0,y,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\_planned_fsp_not_run\BW2_J1J2_D189_T90_PSI97_H525\BW2_J1J2_D189_T90_PSI97_H525_454NM_YIN.fsp,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\per_case_extract\BW2_J1J2_D189_T90_PSI97_H525\454nm_y.json,planned_true_not_run
BW2_J1J2_D191p5_T90_PSI97_H525,BW2-A d micro-perturbation,191.5,90.0,97.0,230.0,100.0,180.0,90.0,448.0,x,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\_planned_fsp_not_run\BW2_J1J2_D191p5_T90_PSI97_H525\BW2_J1J2_D191p5_T90_PSI97_H525_448NM_XIN.fsp,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\per_case_extract\BW2_J1J2_D191p5_T90_PSI97_H525\448nm_x.json,planned_true_not_run
BW2_J1J2_D191p5_T90_PSI97_H525,BW2-A d micro-perturbation,191.5,90.0,97.0,230.0,100.0,180.0,90.0,448.0,y,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\_planned_fsp_not_run\BW2_J1J2_D191p5_T90_PSI97_H525\BW2_J1J2_D191p5_T90_PSI97_H525_448NM_YIN.fsp,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\per_case_extract\BW2_J1J2_D191p5_T90_PSI97_H525\448nm_y.json,planned_true_not_run
BW2_J1J2_D191p5_T90_PSI97_H525,BW2-A d micro-perturbation,191.5,90.0,97.0,230.0,100.0,180.0,90.0,450.0,x,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\_planned_fsp_not_run\BW2_J1J2_D191p5_T90_PSI97_H525\BW2_J1J2_D191p5_T90_PSI97_H525_450NM_XIN.fsp,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\per_case_extract\BW2_J1J2_D191p5_T90_PSI97_H525\450nm_x.json,planned_true_not_run
BW2_J1J2_D191p5_T90_PSI97_H525,BW2-A d micro-perturbation,191.5,90.0,97.0,230.0,100.0,180.0,90.0,450.0,y,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\_planned_fsp_not_run\BW2_J1J2_D191p5_T90_PSI97_H525\BW2_J1J2_D191p5_T90_PSI97_H525_450NM_YIN.fsp,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\per_case_extract\BW2_J1J2_D191p5_T90_PSI97_H525\450nm_y.json,planned_true_not_run
BW2_J1J2_D191p5_T90_PSI97_H525,BW2-A d micro-perturbation,191.5,90.0,97.0,230.0,100.0,180.0,90.0,452.0,x,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\_planned_fsp_not_run\BW2_J1J2_D191p5_T90_PSI97_H525\BW2_J1J2_D191p5_T90_PSI97_H525_452NM_XIN.fsp,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\per_case_extract\BW2_J1J2_D191p5_T90_PSI97_H525\452nm_x.json,planned_true_not_run
BW2_J1J2_D191p5_T90_PSI97_H525,BW2-A d micro-perturbation,191.5,90.0,97.0,230.0,100.0,180.0,90.0,452.0,y,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\_planned_fsp_not_run\BW2_J1J2_D191p5_T90_PSI97_H525\BW2_J1J2_D191p5_T90_PSI97_H525_452NM_YIN.fsp,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\per_case_extract\BW2_J1J2_D191p5_T90_PSI97_H525\452nm_y.json,planned_true_not_run
BW2_J1J2_D191p5_T90_PSI97_H525,BW2-A d micro-perturbation,191.5,90.0,97.0,230.0,100.0,180.0,90.0,453.0,x,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\_planned_fsp_not_run\BW2_J1J2_D191p5_T90_PSI97_H525\BW2_J1J2_D191p5_T90_PSI97_H525_453NM_XIN.fsp,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\per_case_extract\BW2_J1J2_D191p5_T90_PSI97_H525\453nm_x.json,planned_true_not_run
BW2_J1J2_D191p5_T90_PSI97_H525,BW2-A d micro-perturbation,191.5,90.0,97.0,230.0,100.0,180.0,90.0,453.0,y,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\_planned_fsp_not_run\BW2_J1J2_D191p5_T90_PSI97_H525\BW2_J1J2_D191p5_T90_PSI97_H525_453NM_YIN.fsp,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\per_case_extract\BW2_J1J2_D191p5_T90_PSI97_H525\453nm_y.json,planned_true_not_run
BW2_J1J2_D191p5_T90_PSI97_H525,BW2-A d micro-perturbation,191.5,90.0,97.0,230.0,100.0,180.0,90.0,454.0,x,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\_planned_fsp_not_run\BW2_J1J2_D191p5_T90_PSI97_H525\BW2_J1J2_D191p5_T90_PSI97_H525_454NM_XIN.fsp,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\per_case_extract\BW2_J1J2_D191p5_T90_PSI97_H525\454nm_x.json,planned_true_not_run
BW2_J1J2_D191p5_T90_PSI97_H525,BW2-A d micro-perturbation,191.5,90.0,97.0,230.0,100.0,180.0,90.0,454.0,y,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\_planned_fsp_not_run\BW2_J1J2_D191p5_T90_PSI97_H525\BW2_J1J2_D191p5_T90_PSI97_H525_454NM_YIN.fsp,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\per_case_extract\BW2_J1J2_D191p5_T90_PSI97_H525\454nm_y.json,planned_true_not_run
BW2_J1J2_D196p5_T90_PSI97_H525,BW2-A d micro-perturbation,196.5,90.0,97.0,230.0,100.0,180.0,90.0,448.0,x,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\_planned_fsp_not_run\BW2_J1J2_D196p5_T90_PSI97_H525\BW2_J1J2_D196p5_T90_PSI97_H525_448NM_XIN.fsp,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\per_case_extract\BW2_J1J2_D196p5_T90_PSI97_H525\448nm_x.json,planned_true_not_run
BW2_J1J2_D196p5_T90_PSI97_H525,BW2-A d micro-perturbation,196.5,90.0,97.0,230.0,100.0,180.0,90.0,448.0,y,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\_planned_fsp_not_run\BW2_J1J2_D196p5_T90_PSI97_H525\BW2_J1J2_D196p5_T90_PSI97_H525_448NM_YIN.fsp,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\per_case_extract\BW2_J1J2_D196p5_T90_PSI97_H525\448nm_y.json,planned_true_not_run
BW2_J1J2_D196p5_T90_PSI97_H525,BW2-A d micro-perturbation,196.5,90.0,97.0,230.0,100.0,180.0,90.0,450.0,x,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\_planned_fsp_not_run\BW2_J1J2_D196p5_T90_PSI97_H525\BW2_J1J2_D196p5_T90_PSI97_H525_450NM_XIN.fsp,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\per_case_extract\BW2_J1J2_D196p5_T90_PSI97_H525\450nm_x.json,planned_true_not_run
BW2_J1J2_D196p5_T90_PSI97_H525,BW2-A d micro-perturbation,196.5,90.0,97.0,230.0,100.0,180.0,90.0,450.0,y,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\_planned_fsp_not_run\BW2_J1J2_D196p5_T90_PSI97_H525\BW2_J1J2_D196p5_T90_PSI97_H525_450NM_YIN.fsp,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\per_case_extract\BW2_J1J2_D196p5_T90_PSI97_H525\450nm_y.json,planned_true_not_run
BW2_J1J2_D196p5_T90_PSI97_H525,BW2-A d micro-perturbation,196.5,90.0,97.0,230.0,100.0,180.0,90.0,452.0,x,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\_planned_fsp_not_run\BW2_J1J2_D196p5_T90_PSI97_H525\BW2_J1J2_D196p5_T90_PSI97_H525_452NM_XIN.fsp,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\per_case_extract\BW2_J1J2_D196p5_T90_PSI97_H525\452nm_x.json,planned_true_not_run
BW2_J1J2_D196p5_T90_PSI97_H525,BW2-A d micro-perturbation,196.5,90.0,97.0,230.0,100.0,180.0,90.0,452.0,y,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\_planned_fsp_not_run\BW2_J1J2_D196p5_T90_PSI97_H525\BW2_J1J2_D196p5_T90_PSI97_H525_452NM_YIN.fsp,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\per_case_extract\BW2_J1J2_D196p5_T90_PSI97_H525\452nm_y.json,planned_true_not_run
BW2_J1J2_D196p5_T90_PSI97_H525,BW2-A d micro-perturbation,196.5,90.0,97.0,230.0,100.0,180.0,90.0,453.0,x,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\_planned_fsp_not_run\BW2_J1J2_D196p5_T90_PSI97_H525\BW2_J1J2_D196p5_T90_PSI97_H525_453NM_XIN.fsp,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\per_case_extract\BW2_J1J2_D196p5_T90_PSI97_H525\453nm_x.json,planned_true_not_run
BW2_J1J2_D196p5_T90_PSI97_H525,BW2-A d micro-perturbation,196.5,90.0,97.0,230.0,100.0,180.0,90.0,453.0,y,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\_planned_fsp_not_run\BW2_J1J2_D196p5_T90_PSI97_H525\BW2_J1J2_D196p5_T90_PSI97_H525_453NM_YIN.fsp,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\per_case_extract\BW2_J1J2_D196p5_T90_PSI97_H525\453nm_y.json,planned_true_not_run
BW2_J1J2_D196p5_T90_PSI97_H525,BW2-A d micro-perturbation,196.5,90.0,97.0,230.0,100.0,180.0,90.0,454.0,x,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\_planned_fsp_not_run\BW2_J1J2_D196p5_T90_PSI97_H525\BW2_J1J2_D196p5_T90_PSI97_H525_454NM_XIN.fsp,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\per_case_extract\BW2_J1J2_D196p5_T90_PSI97_H525\454nm_x.json,planned_true_not_run
BW2_J1J2_D196p5_T90_PSI97_H525,BW2-A d micro-perturbation,196.5,90.0,97.0,230.0,100.0,180.0,90.0,454.0,y,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\_planned_fsp_not_run\BW2_J1J2_D196p5_T90_PSI97_H525\BW2_J1J2_D196p5_T90_PSI97_H525_454NM_YIN.fsp,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\per_case_extract\BW2_J1J2_D196p5_T90_PSI97_H525\454nm_y.json,planned_true_not_run
BW2_J1J2_D199_T90_PSI97_H525,BW2-A d micro-perturbation,199.0,90.0,97.0,230.0,100.0,180.0,90.0,448.0,x,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\_planned_fsp_not_run\BW2_J1J2_D199_T90_PSI97_H525\BW2_J1J2_D199_T90_PSI97_H525_448NM_XIN.fsp,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\per_case_extract\BW2_J1J2_D199_T90_PSI97_H525\448nm_x.json,planned_true_not_run
BW2_J1J2_D199_T90_PSI97_H525,BW2-A d micro-perturbation,199.0,90.0,97.0,230.0,100.0,180.0,90.0,448.0,y,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\_planned_fsp_not_run\BW2_J1J2_D199_T90_PSI97_H525\BW2_J1J2_D199_T90_PSI97_H525_448NM_YIN.fsp,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\per_case_extract\BW2_J1J2_D199_T90_PSI97_H525\448nm_y.json,planned_true_not_run
BW2_J1J2_D199_T90_PSI97_H525,BW2-A d micro-perturbation,199.0,90.0,97.0,230.0,100.0,180.0,90.0,450.0,x,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\_planned_fsp_not_run\BW2_J1J2_D199_T90_PSI97_H525\BW2_J1J2_D199_T90_PSI97_H525_450NM_XIN.fsp,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\per_case_extract\BW2_J1J2_D199_T90_PSI97_H525\450nm_x.json,planned_true_not_run
BW2_J1J2_D199_T90_PSI97_H525,BW2-A d micro-perturbation,199.0,90.0,97.0,230.0,100.0,180.0,90.0,450.0,y,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\_planned_fsp_not_run\BW2_J1J2_D199_T90_PSI97_H525\BW2_J1J2_D199_T90_PSI97_H525_450NM_YIN.fsp,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\per_case_extract\BW2_J1J2_D199_T90_PSI97_H525\450nm_y.json,planned_true_not_run
BW2_J1J2_D199_T90_PSI97_H525,BW2-A d micro-perturbation,199.0,90.0,97.0,230.0,100.0,180.0,90.0,452.0,x,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\_planned_fsp_not_run\BW2_J1J2_D199_T90_PSI97_H525\BW2_J1J2_D199_T90_PSI97_H525_452NM_XIN.fsp,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\per_case_extract\BW2_J1J2_D199_T90_PSI97_H525\452nm_x.json,planned_true_not_run
BW2_J1J2_D199_T90_PSI97_H525,BW2-A d micro-perturbation,199.0,90.0,97.0,230.0,100.0,180.0,90.0,452.0,y,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\_planned_fsp_not_run\BW2_J1J2_D199_T90_PSI97_H525\BW2_J1J2_D199_T90_PSI97_H525_452NM_YIN.fsp,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\per_case_extract\BW2_J1J2_D199_T90_PSI97_H525\452nm_y.json,planned_true_not_run
BW2_J1J2_D199_T90_PSI97_H525,BW2-A d micro-perturbation,199.0,90.0,97.0,230.0,100.0,180.0,90.0,453.0,x,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\_planned_fsp_not_run\BW2_J1J2_D199_T90_PSI97_H525\BW2_J1J2_D199_T90_PSI97_H525_453NM_XIN.fsp,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw2_robust_narrowband_dimer_screen\per_case_extract\BW2_J1J2_D199_T90_PSI97_H525\453nm_x.json,planned_true_not_run
