candidate_id,top_pair_count,bottom_pair_count,cavity_spacer_nm,top_termination_nm,bottom_termination_nm,top_high_scale,top_low_scale,bottom_high_scale,bottom_low_scale,top_chirp,bottom_chirp,valid,score,corrected_proxy_peak_abs_angle_deg,corrected_proxy_angular_FWHM_deg,angular_fwhm_bounded,normal_window_response_0_5,normal_window_response_0_10,offaxis_20_60_response,offaxis_30_40_response,corrected_normal_offaxis_ratio,offaxis_peak_30_40_to_normal_ratio,offaxis_peak_20_60_to_normal_ratio,strongest_peak_angle,second_peak_angle,second_to_first_peak_ratio,spectral_peak_nm_normal_window,spectral_fwhm_nm_normal_window,spectral_fwhm_bounded,near_normal_spectrum_0_5_peak,near_normal_spectrum_0_10_peak,top_R_proxy,bottom_R_proxy,top_outcoupling_proxy,extraction_proxy,model_lam0_nm,model_spec_fwhm_nm,model_angle_fwhm_deg,total_stack_thickness_nm,distance_to_R2_4B_OPT_06361,distance_to_R2_4B_OPT_06176,failure_mode,pass_level
R2_4D2_OPT_13003,8,12,238.0,90,76.0,0.8827,0.8149,0.8976,0.7516,0.0632,-0.0898,True,-1.822481,7.0,7.277,True,2.01e-08,6.26e-08,9.3e-09,2.78e-08,6.755659,0.444643,0.148024,7.0,33.0,0.096138,459.5,2.788,True,0.5545940223,1.7311435774,0.868326,0.967477,0.131674,0.12889032,459.527,2.625,6.759,2889.0,1.127651,0.989906,spectral_peak_outside_450_456;30_40_resonance_risk;normal5_below_population_threshold;normal10_below_population_threshold;offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold;spectral_peak_rule,fail_corrected_proxy
R2_4D2_OPT_13010,8,11,228.0,86.0,69.0,0.962,0.75,0.9319,0.7854,0.0571,-0.1155,True,-2.190919,7.5,8.388,True,0.0002798986,0.000853483,0.0001155135,0.0003419484,7.388602,0.400651,0.135344,7.5,33.0,0.091294,447.25,3.493,True,1.0048582403,3.0640715843,0.773585,0.920502,0.226415,0.21471512,447.197,3.377,8.072,2785.0,1.264767,1.114137,peak_angle_gt7;spectral_peak_outside_450_456;30_40_resonance_risk;peak_angle_rule;offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold;spectral_peak_rule,fail_corrected_proxy
R2_4D2_OPT_13013,6,10,231.0,90,70.0,0.9057,0.75,0.908,0.8049,0.0894,-0.084,True,-5.177213,7.0,10.025,True,0.0077876014,0.0199636889,0.0024536107,0.0063688473,8.136453,0.319022,0.122904,7.0,33.5,0.085786,447.75,3.969,True,1.8927457442,4.8520957248,0.6782,0.921153,0.3218,0.30530716,447.675,3.783,9.327,2404.0,1.321594,1.225005,spectral_peak_outside_450_456;30_40_resonance_risk;offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold;spectral_peak_rule,fail_corrected_proxy
R2_4D2_OPT_12232,7,11,244.0,39.0,53.0,0.971,0.7697,0.861,0.8212,0.1462,-0.0598,True,-9.785043,6.0,10.657,True,0.0571267378,0.1278187217,0.0145541759,0.031840605,8.782271,0.249108,0.113866,6.0,34.0,0.081795,448.5,3.846,True,2.9066879937,6.5035946029,0.611814,0.965909,0.388186,0.3795843,448.533,3.752,10.168,2626.0,1.304786,1.042733,spectral_peak_outside_450_456;offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold;spectral_peak_rule,fail_corrected_proxy
R2_4D2_OPT_03742,8,12,331,58,80,0.7726,0.8139,1.0463,0.7932,0.1054,0.0721,True,-10.869715,6.5,8.132,True,0.0170892233,0.0451575802,0.0060001644,0.0165637446,7.526057,0.366799,0.132872,6.5,33.5,0.093219,448.0,4.359,True,0.8925039758,2.3584055933,0.819968,0.846473,0.180032,0.16206583,447.99,4.194,7.381,3051,1.057499,1.033457,spectral_peak_outside_450_456;30_40_resonance_risk;offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold;spectral_peak_rule,fail_corrected_proxy
R2_4D2_OPT_13268,9,12,264.0,73.0,4.0,1.0905,0.8258,0.8367,0.8502,-0.1252,0.0235,True,-11.049663,6.0,11.49,True,0.0623490228,0.1356936587,0.0167531003,0.0329111345,8.099615,0.24254,0.123463,6.0,34.0,0.077881,448.0,4.444,True,3.6314628046,7.9033552083,0.546034,0.972843,0.453966,0.44595222,447.91,4.203,11.049,3140.0,1.174782,1.369611,spectral_peak_outside_450_456;offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold;spectral_peak_rule,fail_corrected_proxy
R2_4D2_OPT_12392,9,10,261.0,0,57.0,1.0282,0.828,0.8482,0.7874,0.0666,-0.0528,True,-11.317,9.0,10.444,True,0.0016354732,0.0055823349,0.0013369138,0.0022253295,4.175538,0.398638,0.23949,9.0,33.0,0.085768,458.75,3.827,True,1.2956631978,4.4224668758,0.653859,0.960817,0.346141,0.33732498,458.791,3.732,9.809,2773.0,1.28293,1.052369,peak_angle_gt7;spectral_peak_outside_450_456;30_40_resonance_risk;peak_angle_rule;offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold;spectral_peak_rule,fail_corrected_proxy
R2_4D2_OPT_12270,7,11,250.0,35.0,34.0,0.9328,0.75,0.832,0.8718,0.1115,-0.0803,True,-11.494682,6.5,9.695,True,0.0340978416,0.0869853331,0.0104887775,0.0271239138,8.293181,0.311822,0.120581,6.5,33.5,0.087202,448.75,3.732,True,1.7410639473,4.4415429342,0.704623,0.928669,0.295377,0.2816814,448.787,3.537,8.959,2624.0,1.305708,1.06947,spectral_peak_outside_450_456;30_40_resonance_risk;offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold;spectral_peak_rule,fail_corrected_proxy
R2_4D2_OPT_08672,10,6,251,74,53,0.8074,0.8725,0.8002,0.8097,-0.0543,-0.0174,True,-11.609037,10.5,7.133,True,2.55556e-05,0.0001702566,4.84517e-05,0.0001277439,3.513947,0.750302,0.28458,10.5,33.5,0.100162,447.0,3.603,True,0.0932184191,0.621041093,0.900933,0.759484,0.099067,0.08357897,447.113,3.422,6.562,2408,1.152282,1.095659,peak_angle_gt7;spectral_peak_outside_450_456;30_40_resonance_risk;peak_angle_rule;offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold;spectral_peak_rule,fail_corrected_proxy
R2_4D2_OPT_12492,10,4,247.0,87.0,57.0,0.9217,0.7833,0.8028,0.8822,-0.0942,-0.0581,True,-12.973209,7.0,6.516,True,0.0110207721,0.0382411309,0.0061915017,0.0100069768,6.17639,0.261681,0.161907,7.0,36.0,0.09873,447.75,5.217,True,0.1714468618,0.5949058599,0.918217,0.355926,0.081783,0.04754452,447.866,5.159,6.091,2174.0,1.46855,1.467145,spectral_peak_outside_450_456;offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold;spectral_peak_rule,fail_corrected_proxy
