S0,S1,S2,S3,DoLP,psi_deg,dominant_psi_deg,total_power,useful_lp_power,circular_contamination,sigma1,sigma2,sigma2_over_sigma1,geometry_id,wavelength_nm
0.4908917532916376,0.2958849743655586,0.0774567365024883,-0.34362301506834236,0.6230605774252499,7.334848822899488,7.3348488228994855,0.2454458766458188,0.15292764962959052,0.6999975305435551,0.975150296611896,0.17568553042583357,0.1801625154976037,LPBROAD_G001,464.0
0.5922474193780942,0.3165091084026627,0.09857891436162503,-0.34496793580915774,0.5597413695640073,8.649777633271947,8.649777633271947,0.2961237096890471,0.16575269082172173,0.5824726702421107,1.0347371665772713,0.33736306090001733,0.32603744390080724,LPBROAD_G001,465.0
0.6654353577207739,-0.0349200569921268,-1.315831639130111e-09,9.311161029997005e-09,0.05247700860341084,90.00000107948848,90.00000107948848,0.33271767886038695,0.01746002849606341,1.3992585338250241e-08,0.8368724004965762,0.7940499359162785,0.9488303538808448,LPBROAD_G002,435.0
0.7361595274037318,-0.05990739955678198,-6.417842642477577e-09,8.75383713678447e-09,0.08137828463357959,90.0000030690307,90.0000030690307,0.3680797637018659,0.02995369977839116,1.1891223044626312e-08,0.892225827333257,0.8223455039379427,0.9216786588613142,LPBROAD_G002,436.0
0.7643322435731867,-0.08061599268459613,-3.607643184595749e-09,9.235604727256747e-09,0.10547244782939348,90.0000012820206,90.0000012820206,0.38216612178659337,0.040307996342298105,1.208323318152993e-08,0.9192106593473468,0.8268713629631819,0.8995450113146781,LPBROAD_G002,437.0
0.7963954981446586,-0.07499845417066425,-1.2247926524759709e-08,4.963497527729244e-09,0.09417237333132489,90.00000467845975,90.00000467845975,0.3981977490723293,0.037499227085332626,6.232453020255102e-09,0.9334848431095837,0.8493509545376359,0.9098711787417086,LPBROAD_G002,438.0
0.7773418473939516,-0.11533168043408937,-1.4675996065061838e-09,-3.4540962294780443e-10,0.14836674600851646,90.00000036454539,90.00000036454539,0.3886709236969758,0.05766584021704469,4.4434713518356764e-10,0.9448140175865516,0.8136400721202606,0.8611642682849224,LPBROAD_G002,439.0
0.7209008379869184,-0.1625786664643093,-1.0389827634470178e-08,1.0161085537890566e-08,0.22552153902096006,90.00000183078532,90.00000183078532,0.3604504189934592,0.08128933323215481,1.409498366830162e-08,0.9399359044377592,0.7472095900900955,0.7949580248634648,LPBROAD_G002,440.0
0.979296185662178,0.08933800394324903,-1.2377406289135202e-08,1.4789002994543493e-08,0.0912267455456712,179.99999603095486,179.99999603095486,0.489648092831089,0.04466900197162495,1.5101665064225186e-08,1.0337476430954649,0.9433759493006629,0.9125785733119623,LPBROAD_G002,441.0
0.8557146438991778,0.05442591074618813,-7.024294586146868e-09,-9.121492597402166e-09,0.06360287408217027,179.9999963026578,179.9999963026578,0.4278573219495889,0.027212955373094292,1.0659502747129427e-08,0.9540128692241879,0.8951473248314987,0.9382969074195412,LPBROAD_G002,442.0
0.5136239116101303,0.42757486768329517,-3.970202197282792e-09,-5.097403292122352e-09,0.8324668264429418,179.99999973399298,179.99999973399298,0.25681195580506516,0.2137874338416476,9.924388598153058e-09,0.9701539977206842,0.29334117325536674,0.30236557695433236,LPBROAD_G002,443.0
0.9634923836414533,-0.028649968995044184,6.182725037204966e-09,-1.6627223739482987e-09,0.029735542783186582,89.99999381772368,89.99999381772368,0.48174619182072664,0.014324984497522427,1.7257244604925196e-09,0.9960634280187675,0.9668724914105314,0.9706936970205817,LPBROAD_G002,444.0
0.9509799490487145,0.012119918028201782,-2.712241766182885e-09,-2.363190224377988e-09,0.012744662009252557,179.9999935890653,179.9999935890653,0.47548997452435726,0.0060599590141010426,2.4850053113548163e-09,0.9813765164690446,0.9689478990227042,0.9873355259293771,LPBROAD_G002,445.0
0.9383931901534452,0.044479254886895914,-7.69446301149185e-09,1.5124949697607713e-09,0.04739937944309183,179.99999504420367,179.99999504420367,0.4691965950767226,0.02223962744344829,1.6117923548799938e-09,0.991399235949041,0.9454702191325484,0.9536725315583626,LPBROAD_G002,446.0
0.9302868013783494,0.06973693629739325,-1.3434308736537285e-08,-6.770034605418981e-09,0.07496283532569693,179.9999944811944,179.9999944811944,0.4651434006891747,0.03486846814869727,7.27736284701474e-09,1.0000118687674382,0.9276582695588685,0.9276472595292805,LPBROAD_G002,447.0
0.4068609676966899,-0.3675382261779805,1.4423176124521967e-08,-6.650428780992379e-09,0.9033509118819583,89.99999887578072,89.99999887578072,0.20343048384834495,0.18376911308899038,1.6345703591675563e-08,0.8799995419741253,0.19829962561414255,0.22534060093860045,LPBROAD_G002,448.0
0.824446761038863,0.12723351916117687,1.6983992376746102e-09,-1.2088339626394681e-09,0.15432593731201436,3.824114466397797e-07,3.8241144663977976e-07,0.4122233805194315,0.06361675958058843,1.4662365355359624e-09,0.9755410192298629,0.8349929591785109,0.8559280878190985,LPBROAD_G002,449.0
0.7630341172807225,0.23073843053829074,6.457337532906204e-09,-2.0220432621050033e-09,0.3023959549287119,8.017264108623365e-07,8.017264108623374e-07,0.38151705864036123,0.11536921526914541,2.650003736806814e-09,0.9968814111111778,0.7295859693980083,0.7318683659521472,LPBROAD_G002,450.0
0.4900566019301166,0.13951016213629033,3.426828205334959e-09,9.62113687306674e-09,0.2846817318383661,7.036863489925274e-07,7.036863489925275e-07,0.2450283009650583,0.06975508106814518,1.9632705355204543e-08,0.7934524333987559,0.5920696241100584,0.7461942256247502,LPBROAD_G002,451.0
0.08301478152771607,-0.043014601601032924,8.240895097697612e-10,2.0945953341709375e-10,0.5181559333101622,89.99999945115323,89.99999945115323,0.04150739076385804,0.021507300800516466,2.5231594851232812e-09,0.35500617336709656,0.20000044981620205,0.5633717518748335,LPBROAD_G002,452.0
0.06059557477576754,0.06001874323682393,-1.1362269310497283e-09,2.6814336924622264e-09,0.9904806326026587,179.99999945766103,179.99999945766103,0.03029778738788377,0.03000937161841197,4.425131211948739e-08,0.34729572127020447,0.024017317480175587,0.06915523575221226,LPBROAD_G002,453.0
0.2483541912692667,0.102604780555442,5.155668053252453e-09,-4.258698957147974e-09,0.4131389127401421,1.439494429122519e-06,1.4394944291225192e-06,0.12417709563463335,0.051302390277721065,1.714768305452383e-08,0.5924179030251439,0.38177141159838623,0.6444292274910922,LPBROAD_G002,454.0
0.6850344308556457,-0.1937887678245023,-1.696939684485724e-08,-3.2211161914536255e-09,0.2828890915489462,90.00000250859435,90.00000250859435,0.3425172154278229,0.09689438391225151,4.702123055961252e-09,0.9374557049163168,0.7008891945458589,0.7476504659048661,LPBROAD_G002,455.0
