candidate_id,category,role,candidate_order,J1_side_nm,J2_length_nm,J2_width_nm,D_nm,Psi_deg,requested_D_nm,requested_Psi_deg,J1_center_x_nm,J1_center_y_nm,J2_center_x_nm,J2_center_y_nm,H_nm,period_x_nm,period_y_nm,material,direct_gap_nm,periodic_gap_nm,integer_or_half_grid_centers,primitive_valid,manufacturing_pass,exact_geometry_hash_sha256,canonical_relative_geometry_hash_sha256,symmetry_equivalence_geometry_hash_sha256,duplicate_against_formal,planning_status,physics_status,prediction_status,wavelength_authorization,fixed_contract_hash,smoke_order,smoke_status,smoke_physics_label
LPML_R1_GLOBAL_SOBOL_001,GLOBAL_SOBOL,GLOBAL_FEASIBLE_SPACE,1,108,106,98,196.04081207748553,-1.169139327907419,196.04081207748553,-1.169139327907419,-98.0,2.0,98.0,-2.0,500.0,432.0,432.0,APCD_TIO2_NATIVE_M1,88.04081207748553,128.0,True,True,True,7e0266a84191c1bb7f029d5e94e09c1744dae0262c18ada6857918e04995561d,c9ea3f67cfd2d42f721287e1c60edd80c1f99b386d30f7ebc73ae67b8f450ae8,ba93c1845976709365f4e1fcfe86a54749edd945ee114e70bf429dc7e31409be,False,PLANNED_NOT_RUN,ABSENT_NOT_SIMULATED,MODEL_PREDICTION_NOT_PHYSICS_LABEL,450.0-454.0_nm_step_0.5_nm,b225fc1e828b30e41497bbf75c36ab1d287f65ec4b049cb3bac2e075d74205e5,1,PLANNED_NOT_RUN,ABSENT_NOT_SIMULATED
LPML_R1_GLOBAL_SOBOL_002,GLOBAL_SOBOL,GLOBAL_FEASIBLE_SPACE,2,110,108,100,200.0,0.0,200.0,0.0,-100.0,-0.0,100.0,0.0,500.0,432.0,432.0,APCD_TIO2_NATIVE_M1,90.0,122.0,True,True,True,c4a870c85d7e72817465811491a3316fcabd28c16794fde9ffb73276ee150aac,9e63a3bfc846a4906b9be44e19f969aa9743c172d960541ef358880fbbae9a97,94be949f009c4a48941dfc040172672e4309fb6d654f9f9c2e46279c5f891697,False,PLANNED_NOT_RUN,ABSENT_NOT_SIMULATED,MODEL_PREDICTION_NOT_PHYSICS_LABEL,450.0-454.0_nm_step_0.5_nm,b225fc1e828b30e41497bbf75c36ab1d287f65ec4b049cb3bac2e075d74205e5,2,PLANNED_NOT_RUN,ABSENT_NOT_SIMULATED
LPML_R1_GLOBAL_SOBOL_003,GLOBAL_SOBOL,GLOBAL_FEASIBLE_SPACE,3,111,107,99,198.0101007524616,0.5787255656077621,198.0101007524616,0.5787255656077621,-99.0,-1.0,99.0,1.0,500.0,432.0,432.0,APCD_TIO2_NATIVE_M1,87.0101007524616,123.0,True,True,True,5f994a20dcaed5e2a898537b1113544bdfe9f85ee147ea86db3c6b5add55be82,eadb7f274198c3c2e39bcd1af335f0f54b7dc71f95512c4d344c6d2509af4a4c,9286c83de1924d1bd39e1e4aa4955b7b227445da78bfab1a8a17a6f77d88ae10,False,PLANNED_NOT_RUN,ABSENT_NOT_SIMULATED,MODEL_PREDICTION_NOT_PHYSICS_LABEL,450.0-454.0_nm_step_0.5_nm,b225fc1e828b30e41497bbf75c36ab1d287f65ec4b049cb3bac2e075d74205e5,3,PLANNED_NOT_RUN,ABSENT_NOT_SIMULATED
LPML_R1_GLOBAL_SOBOL_004,GLOBAL_SOBOL,GLOBAL_FEASIBLE_SPACE,4,109,109,101,202.00990074746338,-0.5672664098579344,202.00990074746338,-0.5672664098579344,-101.0,1.0,101.0,-1.0,500.0,432.0,432.0,APCD_TIO2_NATIVE_M1,93.00990074746338,121.0,True,True,True,1e9eb04e46b8530ec34e803209f4ec91f329826f31b1c7992e2908ac8cdbbfdb,48cdc0c69ec503dbd2047eeb147deb37c5f1ac50896af776ec21450642777f7f,50651c65e00a06a3b15f9be344b1dec6052fa61814721efa7cf176a3f0006fa7,False,PLANNED_NOT_RUN,ABSENT_NOT_SIMULATED,MODEL_PREDICTION_NOT_PHYSICS_LABEL,450.0-454.0_nm_step_0.5_nm,b225fc1e828b30e41497bbf75c36ab1d287f65ec4b049cb3bac2e075d74205e5,4,PLANNED_NOT_RUN,ABSENT_NOT_SIMULATED
LPML_R1_GLOBAL_SOBOL_005,GLOBAL_SOBOL,GLOBAL_FEASIBLE_SPACE,5,110,108,100,203.0024630392449,-0.2822429362708571,203.0024630392449,-0.2822429362708571,-101.5,0.5,101.5,-0.5,500.0,432.0,432.0,APCD_TIO2_NATIVE_M1,93.0024630392449,119.0,True,True,True,62cb2bad2ecb60de6d49e7d98f7d3989be0d12238955f88f2a06b9f0f24abf99,506f4b861817fc45f8e993ce3465ad309079a2b06916d2e412c41cf3d2515980,9a6cedef3e27184d5b5b2ae275615464ce83a65a151621768333456d2316e72f,False,PLANNED_NOT_RUN,ABSENT_NOT_SIMULATED,MODEL_PREDICTION_NOT_PHYSICS_LABEL,450.0-454.0_nm_step_0.5_nm,b225fc1e828b30e41497bbf75c36ab1d287f65ec4b049cb3bac2e075d74205e5,5,PLANNED_NOT_RUN,ABSENT_NOT_SIMULATED
LPML_R1_GLOBAL_SOBOL_006,GLOBAL_SOBOL,GLOBAL_FEASIBLE_SPACE,6,112,110,98,199.0226117806718,0.863690044599587,199.0226117806718,0.863690044599587,-99.5,-1.5,99.5,1.5,500.0,432.0,432.0,APCD_TIO2_NATIVE_M1,87.02261178067181,121.0,True,True,True,d998d37b32554a27b102fa981b09f3e3254e5f19b7a04c9239f98d6e48bdf246,ec042ed231c0f19a47ad74e43c370e82bf02780ae296ea59612adef616c61af5,0375882bde21c85ebfec1d47ee8ac96f95e10fae72846bf51f948cca9eb75f04,False,PLANNED_NOT_RUN,ABSENT_NOT_SIMULATED,MODEL_PREDICTION_NOT_PHYSICS_LABEL,450.0-454.0_nm_step_0.5_nm,b225fc1e828b30e41497bbf75c36ab1d287f65ec4b049cb3bac2e075d74205e5,6,PLANNED_NOT_RUN,ABSENT_NOT_SIMULATED
LPML_R1_GLOBAL_SOBOL_007,GLOBAL_SOBOL,GLOBAL_FEASIBLE_SPACE,7,110,106,102,201.0024875467963,0.2850512775838264,201.0024875467963,0.2850512775838264,-100.5,-0.5,100.5,0.5,500.0,432.0,432.0,APCD_TIO2_NATIVE_M1,91.00248754679629,121.0,True,True,True,d9d8b382c32ed5a6610bf86c65f30e921f335bd8cbb8a83e115489f55559a93b,5b7bd1ab0676f3180308865a3212b56a8f3b6ac4a2ebf0f3ee5102413c5f1f1b,01ea20cc496de0e2645cf26bbc815a5972ce394f78770bb0a14ca7184bb8b2a9,False,PLANNED_NOT_RUN,ABSENT_NOT_SIMULATED,MODEL_PREDICTION_NOT_PHYSICS_LABEL,450.0-454.0_nm_step_0.5_nm,b225fc1e828b30e41497bbf75c36ab1d287f65ec4b049cb3bac2e075d74205e5,7,PLANNED_NOT_RUN,ABSENT_NOT_SIMULATED
LPML_R1_GLOBAL_SOBOL_008,GLOBAL_SOBOL,GLOBAL_FEASIBLE_SPACE,8,108,108,100,197.02284131541703,-0.8724571229020331,197.02284131541703,-0.8724571229020331,-98.5,1.5,98.5,-1.5,500.0,432.0,432.0,APCD_TIO2_NATIVE_M1,89.02284131541703,127.0,True,True,True,dd0ad27415b70ac619ddeb729d20d9227b9c325b2770e41f9bb141a47462fcb2,b865047718e85946e7593183c64ec655ebf749c15df4245d7f11a12f9336293f,645de300279a744bdd8f5b28103d7279a5103a9e13509b7ee5d695e9057b5614,False,PLANNED_NOT_RUN,ABSENT_NOT_SIMULATED,MODEL_PREDICTION_NOT_PHYSICS_LABEL,450.0-454.0_nm_step_0.5_nm,b225fc1e828b30e41497bbf75c36ab1d287f65ec4b049cb3bac2e075d74205e5,8,PLANNED_NOT_RUN,ABSENT_NOT_SIMULATED
LPML_R1_GLOBAL_SOBOL_009,GLOBAL_SOBOL,GLOBAL_FEASIBLE_SPACE,9,109,107,102,200.0,0.0,200.0,0.0,-100.0,-0.0,100.0,0.0,500.0,432.0,432.0,APCD_TIO2_NATIVE_M1,91.0,123.0,True,True,True,e50a5a488e637c0b7a6027c205c482cd891ee1ec3f2d603336659aa413786cf5,cbe54cbfc98130732bd9900e69e149324ac4686f8d538edcce716205e39812e3,fcbc0688f765a0ecd75b02308e64646c88352c1cc8143af2e47f7f8d911fc764,False,PLANNED_NOT_RUN,ABSENT_NOT_SIMULATED,MODEL_PREDICTION_NOT_PHYSICS_LABEL,450.0-454.0_nm_step_0.5_nm,b225fc1e828b30e41497bbf75c36ab1d287f65ec4b049cb3bac2e075d74205e5,,,
LPML_R1_GLOBAL_SOBOL_010,GLOBAL_SOBOL,GLOBAL_FEASIBLE_SPACE,10,111,109,100,204.0392119177096,-1.123302714075429,204.0392119177096,-1.123302714075429,-102.0,2.0,102.0,-2.0,500.0,432.0,432.0,APCD_TIO2_NATIVE_M1,93.0392119177096,117.0,True,True,True,b9102cfa22df75bc9a9b4faba164c46de01d7d0e8d25d472a07149c304270df7,44869979dd1413523778b1245572ad3a379207be69b13197b956d5589ae88c91,64a8f250507600437dfbed5d1a29a28ad576bad29b85ec34857302c56f169d3f,False,PLANNED_NOT_RUN,ABSENT_NOT_SIMULATED,MODEL_PREDICTION_NOT_PHYSICS_LABEL,450.0-454.0_nm_step_0.5_nm,b225fc1e828b30e41497bbf75c36ab1d287f65ec4b049cb3bac2e075d74205e5,,,
