object_name,dimer_ix,dimer_iy,role,x_center_nm,y_center_nm,z_min_nm,z_max_nm,rotation_axis,rotation_deg
CP_route_b2_D195_T90_uniform_patch_7x3_group/DIMER_ix2_iy-1_J1J2_D195_T90/J1_pillar,2,-1,J1,863.815572,-335.000000,0.0,525.0,z,-7
CP_route_b2_D195_T90_uniform_patch_7x3_group/DIMER_ix2_iy-1_J1J2_D195_T90/J2_pillar,2,-1,J2,863.815572,-529.000000,0.0,525.0,z,38
CP_route_b2_D195_T90_uniform_patch_7x3_group/DIMER_ix2_iy0_J1J2_D195_T90/J1_pillar,2,0,J1,863.815572,97.000000,0.0,525.0,z,-7
CP_route_b2_D195_T90_uniform_patch_7x3_group/DIMER_ix2_iy0_J1J2_D195_T90/J2_pillar,2,0,J2,863.815572,-97.000000,0.0,525.0,z,38
CP_route_b2_D195_T90_uniform_patch_7x3_group/DIMER_ix2_iy1_J1J2_D195_T90/J1_pillar,2,1,J1,863.815572,529.000000,0.0,525.0,z,-7
CP_route_b2_D195_T90_uniform_patch_7x3_group/DIMER_ix2_iy1_J1J2_D195_T90/J2_pillar,2,1,J2,863.815572,335.000000,0.0,525.0,z,38
CP_route_b2_D195_T90_uniform_patch_7x3_group/DIMER_ix3_iy-1_J1J2_D195_T90/J1_pillar,3,-1,J1,1295.723358,-335.000000,0.0,525.0,z,-7
CP_route_b2_D195_T90_uniform_patch_7x3_group/DIMER_ix3_iy-1_J1J2_D195_T90/J2_pillar,3,-1,J2,1295.723358,-529.000000,0.0,525.0,z,38
CP_route_b2_D195_T90_uniform_patch_7x3_group/DIMER_ix3_iy0_J1J2_D195_T90/J1_pillar,3,0,J1,1295.723358,97.000000,0.0,525.0,z,-7
CP_route_b2_D195_T90_uniform_patch_7x3_group/DIMER_ix3_iy0_J1J2_D195_T90/J2_pillar,3,0,J2,1295.723358,-97.000000,0.0,525.0,z,38
CP_route_b2_D195_T90_uniform_patch_7x3_group/DIMER_ix3_iy1_J1J2_D195_T90/J1_pillar,3,1,J1,1295.723358,529.000000,0.0,525.0,z,-7
CP_route_b2_D195_T90_uniform_patch_7x3_group/DIMER_ix3_iy1_J1J2_D195_T90/J2_pillar,3,1,J2,1295.723358,335.000000,0.0,525.0,z,38
