candidate_id,family,center_wavelength_nm,cavity_span_nm,top_pair_count,bottom_pair_count,bottom_reflectivity_proxy,termination,spectral_peak_wavelength_nm_at_theta0,spectral_FWHM_nm_at_theta0,angular_peak_angle_deg_at_453,angular_FWHM_deg_at_453,peak_abs_angle_deg_at_453,I_normal_0_5deg_at_453,I_offaxis_20_30deg_at_453,eta5,eta10,eta20,eta30,normal_offaxis_ratio_at_453,pass_level,failure_reason,score
R2_1_04530,R2D_all_dielectric_highR_mediumR_scan,453,250,12,0,0.12,SiO2_25nm,453.025,4.959948,2.0,8.0,2.0,1.688017,0.547456,0.421387,0.627199,0.734307,0.969934,3.083387,Level A,meets Level B or better constraints,2.586079
R2_1_04526,R2D_all_dielectric_highR_mediumR_scan,453,240,12,0,0.12,SiO2_25nm,452.725,4.959948,2.0,8.0,2.0,1.676443,0.542977,0.418713,0.627418,0.736376,0.970171,3.087504,Level A,meets Level B or better constraints,2.542409
R2_1_04534,R2D_all_dielectric_highR_mediumR_scan,453,260,12,0,0.12,SiO2_25nm,453.325,4.959948,2.0,8.0,2.0,1.670785,0.541144,0.418713,0.627418,0.736376,0.970171,3.087504,Level A,meets Level B or better constraints,2.527925
R2_1_04590,R2D_all_dielectric_highR_mediumR_scan,453,250,12,2,0.4727,SiO2_25nm,452.905,4.360571,2.0,7.0,2.0,1.653407,0.577969,0.44072,0.618226,0.700078,0.966012,2.860718,Level A,meets Level B or better constraints,2.509345
R2_1_04594,R2D_all_dielectric_highR_mediumR_scan,453,260,12,2,0.4727,SiO2_25nm,453.205,4.360571,2.0,7.0,2.0,1.648949,0.575212,0.438082,0.619486,0.702498,0.966287,2.866678,Level A,meets Level B or better constraints,2.492186
R2_1_04549,R2D_all_dielectric_highR_mediumR_scan,453,300,12,0,0.12,TiO2_25nm,453.025,4.959948,1.0,7.0,1.0,1.605632,0.546457,0.444355,0.615378,0.705725,0.966668,2.93826,Level A,meets Level B or better constraints,2.452307
R2_1_04556,R2D_all_dielectric_highR_mediumR_scan,453,320,12,0,0.12,TiO2_50nm,452.75,4.959948,1.0,7.0,1.0,1.614893,0.542776,0.441564,0.618622,0.71124,0.967296,2.975249,Level A,meets Level B or better constraints,2.45201
R2_1_04522,R2D_all_dielectric_highR_mediumR_scan,453,230,12,0,0.12,SiO2_25nm,452.425,4.959948,2.0,8.0,2.0,1.630813,0.527729,0.415937,0.627513,0.738388,0.970403,3.09025,Level A,meets Level B or better constraints,2.436398
R2_1_04586,R2D_all_dielectric_highR_mediumR_scan,453,240,12,2,0.4727,SiO2_25nm,452.605,4.360571,2.0,7.0,2.0,1.621765,0.56573,0.438082,0.619486,0.702498,0.966287,2.866678,Level A,meets Level B or better constraints,2.428301
R2_1_04539,R2D_all_dielectric_highR_mediumR_scan,453,270,12,0,0.12,none,453.0,4.959948,0.0,6.0,0.0,1.570324,0.546349,0.447585,0.609563,0.69694,0.965669,2.874214,Level A,meets Level B or better constraints,2.414299
R2_1_04538,R2D_all_dielectric_highR_mediumR_scan,453,270,12,0,0.12,SiO2_25nm,453.625,4.959948,2.0,8.0,2.0,1.619823,0.524172,0.415937,0.627513,0.738388,0.970403,3.09025,Level A,meets Level B or better constraints,2.412974
R2_1_04545,R2D_all_dielectric_highR_mediumR_scan,453,290,12,0,0.12,TiO2_25nm,452.725,4.959948,0.0,6.0,0.0,1.581001,0.541805,0.445561,0.613566,0.702866,0.966343,2.918026,Level A,meets Level B or better constraints,2.412698
R2_1_04553,R2D_all_dielectric_highR_mediumR_scan,453,310,12,0,0.12,TiO2_25nm,453.325,4.959948,1.0,7.0,1.0,1.597213,0.540084,0.443022,0.617063,0.708516,0.966986,2.957343,Level A,meets Level B or better constraints,2.411843
R2_1_04654,R2D_all_dielectric_highR_mediumR_scan,453,260,12,4,0.722,SiO2_25nm,453.085,4.017483,2.0,6.0,2.0,1.604583,0.61056,0.455225,0.594854,0.662723,0.961775,2.628051,Level A,meets Level B or better constraints,2.410106
R2_1_04598,R2D_all_dielectric_highR_mediumR_scan,453,270,12,2,0.4727,SiO2_25nm,453.505,4.360571,2.0,7.0,2.0,1.60098,0.557641,0.435288,0.620596,0.704845,0.966553,2.870988,Level A,meets Level B or better constraints,2.383819
R2_1_04543,R2D_all_dielectric_highR_mediumR_scan,453,280,12,0,0.12,none,453.3,4.959948,0.0,6.0,0.0,1.56675,0.54088,0.446638,0.611628,0.699938,0.96601,2.896668,Level A,meets Level B or better constraints,2.382619
R2_1_04294,R2D_all_dielectric_highR_mediumR_scan,453,260,10,2,0.4727,SiO2_25nm,453.005,4.40285,2.0,9.0,2.0,1.61877,0.586246,0.379484,0.593089,0.733878,0.970065,2.761246,Level A,meets Level B or better constraints,2.380794
R2_1_04234,R2D_all_dielectric_highR_mediumR_scan,453,260,10,0,0.12,SiO2_25nm,453.125,5.014721,2.0,10.0,2.0,1.629164,0.566805,0.363184,0.585421,0.757378,0.973148,2.874291,Level A,meets Level B or better constraints,2.379023
R2_1_04650,R2D_all_dielectric_highR_mediumR_scan,453,250,12,4,0.722,SiO2_25nm,452.785,4.017483,2.0,6.0,2.0,1.589182,0.606483,0.457572,0.592441,0.659984,0.961464,2.620325,Level A,meets Level B or better constraints,2.370381
R2_1_04230,R2D_all_dielectric_highR_mediumR_scan,453,250,10,0,0.12,SiO2_25nm,452.825,5.014721,2.0,10.0,2.0,1.624915,0.564893,0.365404,0.586289,0.755948,0.972961,2.8765,Level A,meets Level B or better constraints,2.367437
R2_1_02178,R2B_Khaidarov_hybrid_scaled_control,453,220,12,2,0.4727,SiO2_25nm,453.005,4.429555,2.0,10.0,2.0,1.649345,0.635094,0.357428,0.573825,0.734485,0.970337,2.597007,Level A,meets Level B or better constraints,2.363095
R2_1_04535,R2D_all_dielectric_highR_mediumR_scan,453,260,12,0,0.12,none,452.7,4.959948,0.0,6.0,0.0,1.541637,0.540794,0.448399,0.607371,0.693871,0.96532,2.850693,Level A,meets Level B or better constraints,2.33248
R2_1_04552,R2D_all_dielectric_highR_mediumR_scan,453,310,12,0,0.12,TiO2_50nm,452.45,4.959948,1.0,7.0,1.0,1.562164,0.528232,0.443022,0.617063,0.708516,0.966986,2.957343,Level A,meets Level B or better constraints,2.331096
R2_1_04253,R2D_all_dielectric_highR_mediumR_scan,453,310,10,0,0.12,TiO2_25nm,453.125,5.014721,1.0,9.0,1.0,1.585097,0.557557,0.385826,0.590538,0.737997,0.970709,2.84293,Level A,meets Level B or better constraints,2.330136
R2_1_02148,R2B_Khaidarov_hybrid_scaled_control,453,300,12,0,0.12,TiO2_50nm,453.15,5.049393,1.0,9.0,1.0,1.608414,0.602979,0.369876,0.573362,0.733059,0.970339,2.667446,Level A,meets Level B or better constraints,2.328849
R2_1_04613,R2D_all_dielectric_highR_mediumR_scan,453,310,12,2,0.4727,TiO2_25nm,453.205,4.360571,1.0,6.0,1.0,1.552154,0.575084,0.458391,0.595501,0.669323,0.962524,2.699005,Level A,meets Level B or better constraints,2.328725
