candidate_id,top_pair_count,bottom_pair_count,cavity_spacer_nm,top_termination_nm,bottom_termination_nm,top_high_scale,top_low_scale,bottom_high_scale,bottom_low_scale,top_chirp,bottom_chirp,valid,score,pass_level,failure_mode,top_R_proxy,bottom_R_proxy,top_outcoupling_proxy,extraction_proxy,normal_peak_strength,offaxis_peak_strength_20_30,normal_offaxis_ratio,eta10_proxy,eta25_proxy,peak_angle_abs_deg_453,angular_fwhm_deg_453,angular_fwhm_bounded,spectral_peak_nm_normal_window,spectral_fwhm_nm_normal_window,spectral_fwhm_bounded,model_lam0_nm,model_spec_fwhm_nm,model_angle_fwhm_deg,total_stack_thickness_nm
R2_4B_OPT_06361,8,12,336.0,63.0,61.0,0.8422,1.1754,0.8808,0.8178,-0.0757,0.0041,True,32.461814,acceptable_proxy_pass,none,0.505809,0.979361,0.494191,0.48756082,0.46492485,0.02210739,21.030296,0.665756,0.953317,7.0,12.986,True,452.25,5.462,True,452.217,5.355,11.984,3285.0
R2_4B_OPT_06176,10,12,242.0,46.0,63.0,0.75,1.1216,0.8887,0.9197,0.0746,-0.0248,True,32.183068,acceptable_proxy_pass,none,0.492147,0.902146,0.507853,0.47555121,0.45529339,0.02361499,19.279846,0.661803,0.953719,7.0,13.079,True,453.75,4.996,True,453.708,4.907,12.162,3522.0
R2_4B_OPT_06024,6,11,327.0,70.0,74.0,0.9421,0.8762,0.923,0.8828,-0.0572,-0.0562,True,31.918772,acceptable_proxy_pass,none,0.503633,0.883258,0.496367,0.45870119,0.44481296,0.02591633,17.163421,0.644869,0.95403,7.0,12.876,True,452.5,5.796,True,452.572,5.732,12.042,2791.0
R2_4B_OPT_02167,6,10,333,65,62,0.9602,0.859,0.9345,0.8625,-0.0668,-0.033,True,31.440454,acceptable_proxy_pass,none,0.50546,0.864888,0.49454,0.45110827,0.40359444,0.02276799,17.726394,0.647564,0.953835,7.0,12.823,True,452.0,6.046,True,451.892,5.871,12.015,2625
R2_4B_OPT_06129,7,10,257.0,71.0,23.0,1.0858,0.7716,0.8869,0.7968,0.1045,0.078,True,31.116055,acceptable_proxy_pass,none,0.487521,0.942613,0.512479,0.49336262,0.37541233,0.01997022,18.798604,0.660556,0.953584,7.0,13.109,True,451.5,4.971,True,451.444,4.827,12.222,2548.0
R2_4B_OPT_06159,7,11,261.0,67.0,7.0,1.1323,0.7739,0.866,0.7832,0.1359,0.0563,True,31.107862,fail_proxy,angular_fwhm_broad,0.413155,0.972451,0.586845,0.57633666,0.57463262,0.04587066,12.527236,0.640033,0.954962,7.0,27.605,True,453.5,5.268,True,453.522,5.078,13.189,2653.0
R2_4B_OPT_00923,6,9,263,20,47,0.826,1.0015,0.8234,0.7894,-0.1048,-0.0458,True,31.093149,fail_proxy,angular_fwhm_broad,0.388269,0.939092,0.611731,0.5875129,0.59957892,0.05391594,11.120625,0.633386,0.95552,7.0,27.772,True,452.75,5.499,True,452.69,5.375,13.513,2287
R2_4B_OPT_06007,5,10,332.0,57.0,74.0,0.95,0.8451,0.8969,0.8871,-0.052,-0.0652,True,30.871949,acceptable_proxy_pass,none,0.456404,0.865379,0.543596,0.49602888,0.40335935,0.02582835,15.616921,0.651848,0.954827,7.0,13.317,True,454.75,6.304,True,454.742,6.092,12.627,2488.0
R2_4B_OPT_05179,6,11,257,10,22,0.9236,0.9418,1.0451,0.791,0.0591,-0.0839,True,30.7654,fail_proxy,angular_fwhm_broad,0.388481,0.816806,0.611519,0.53870139,0.5526602,0.04976782,11.10477,0.633443,0.955901,7.0,27.77,True,453.25,5.975,True,453.223,5.895,13.51,2613
R2_4B_OPT_06248,8,7,271.0,48.0,0,0.9199,1.0003,0.9277,0.75,-0.1317,-0.0029,True,30.736449,acceptable_proxy_pass,none,0.458324,0.797408,0.541676,0.47034583,0.43334848,0.03822216,11.337625,0.614115,0.954873,7.5,13.523,True,452.25,5.924,True,452.224,5.795,12.658,2368.0
R2_4B_OPT_06534,5,12,240.0,78.0,36.0,0.8014,0.9588,0.9947,0.8536,0.0598,-0.0974,True,30.679118,fail_proxy,angular_fwhm_broad,0.351824,0.847601,0.648176,0.58396854,0.59794419,0.06311609,9.473721,0.623848,0.956209,7.0,28.514,True,453.25,6.073,True,453.357,5.853,13.986,2692.0
R2_4B_OPT_06207,8,11,360,8.0,11.0,1.115,0.8498,0.7964,0.9412,0.025,0.0405,True,30.636233,fail_proxy,angular_fwhm_broad,0.425361,0.845638,0.574639,0.51698233,0.51510011,0.03896609,13.219188,0.643334,0.955728,7.0,27.522,True,453.75,6.641,True,453.668,6.613,13.03,3013.0
R2_4B_OPT_00277,6,10,259,66,18,1.1197,0.8023,0.8745,0.7798,0.1257,0.0597,True,30.597878,fail_proxy,angular_fwhm_broad,0.328588,0.954986,0.671412,0.65176685,0.639901,0.07393037,8.655456,0.617887,0.95579,7.0,28.67,True,453.75,5.742,True,453.78,5.543,14.288,2416
R2_4B_OPT_06225,8,10,356.0,29.0,9.0,1.124,0.8714,0.8449,0.9506,0.0519,0.0955,True,30.478751,fail_proxy,angular_fwhm_broad,0.341686,0.79989,0.658314,0.57268628,0.59310753,0.06526578,9.087572,0.621236,0.95633,7.0,28.582,True,453.0,7.372,True,452.972,7.188,14.118,2950.0
R2_4B_OPT_06554,4,11,246.0,70.0,32.0,0.8475,0.9527,0.8976,0.802,0.0467,-0.0966,True,30.431587,fail_proxy,angular_fwhm_broad,0.270256,0.951595,0.729744,0.70678367,0.6968213,0.09955465,6.999385,0.603328,0.956212,7.0,29.56,True,452.25,5.919,True,452.186,5.706,15.047,2304.0
R2_4B_OPT_06320,9,9,263.0,19.0,8.0,1.1859,0.9449,0.7703,0.7762,0.0588,-0.0527,True,30.393919,fail_proxy,angular_fwhm_broad,0.097227,0.918984,0.902773,0.8552324,0.89882971,0.2052864,4.378418,0.563376,0.951897,7.0,31.723,True,453.25,6.874,True,453.303,6.853,17.296,2758.0
R2_4B_OPT_04998,9,12,239,42,73,0.7648,1.1204,0.8916,0.9613,0.0497,-0.045,True,30.35161,acceptable_proxy_pass,none,0.487278,0.836341,0.512722,0.45817937,0.38959001,0.03290486,11.839891,0.609618,0.955082,7.5,13.039,True,454.0,5.368,True,454.02,5.273,12.298,3432
R2_4B_OPT_06685,7,11,242.0,89.0,39.0,1.1473,1.0008,0.8511,0.7661,-0.0978,-0.0802,True,30.344255,fail_proxy,angular_fwhm_broad,0.027636,0.970145,0.972364,0.95349449,0.99193865,0.26100052,3.800524,0.548581,0.948384,7.0,32.691,True,452.5,6.966,True,452.43,6.791,18.201,2823.0
R2_4B_OPT_06356,4,11,353.0,25.0,15.0,0.9619,1.25,0.8684,0.8945,-0.0357,0.0685,True,30.326004,fail_proxy,angular_fwhm_broad;spectral_fwhm_broad,0.064415,0.911365,0.935585,0.88168324,0.93310142,0.22863816,4.081127,0.556314,0.950668,7.0,31.943,True,453.0,8.067,True,452.907,7.945,17.723,2578.0
R2_4B_OPT_04474,7,11,355,27,5,1.116,0.8938,0.8365,0.9528,0.0589,0.0572,True,30.310898,fail_proxy,angular_fwhm_broad,0.204598,0.851346,0.795402,0.71854631,0.75360157,0.13162277,5.725465,0.587613,0.955153,7.0,30.5,True,453.0,7.603,True,452.94,7.584,15.9,2946
R2_4B_OPT_05065,9,7,270,35,2,0.9675,1.0433,0.9511,0.7632,-0.1063,-0.0091,True,30.300484,fail_proxy,angular_fwhm_broad,0.323731,0.756723,0.676269,0.56933099,0.58964248,0.06945256,8.48986,0.616653,0.955927,7.0,28.703,True,452.75,6.736,True,452.824,6.618,14.352,2584
R2_4B_OPT_06566,7,10,323.0,55.0,79.0,1.2443,0.8413,1.0646,0.75,-0.0639,-0.09,True,30.288535,fail_proxy,angular_fwhm_broad,0.332336,0.739422,0.667664,0.55457771,0.57449908,0.06556234,8.762638,0.618843,0.956248,7.0,28.645,True,453.0,7.224,True,453.123,7.189,14.24,2805.0
R2_4B_OPT_06474,6,11,360,22.0,17.0,1.1865,1.148,0.7802,0.7991,-0.0391,0.124,True,30.265763,fail_proxy,angular_fwhm_broad;spectral_fwhm_broad,9.6e-05,0.946839,0.999904,0.9653526,1.02241266,0.28332246,3.608654,0.542915,0.947287,7.0,32.876,True,452.75,8.345,True,452.732,8.152,18.559,2792.0
R2_4B_OPT_06457,6,11,358.0,21.0,37.0,1.1294,1.191,0.75,0.75,0.007,0.15,True,30.261784,fail_proxy,angular_fwhm_broad;spectral_fwhm_broad,0.000588,0.918402,0.999412,0.94640464,1.00496996,0.2784727,3.608863,0.543015,0.947604,7.0,32.873,True,453.0,8.478,True,452.906,8.265,18.552,2744.0
R2_4B_OPT_03960,10,8,262,14,14,1.189,0.9569,0.7729,0.7671,0.0534,-0.0565,True,30.248919,fail_proxy,angular_fwhm_broad,0.078546,0.879986,0.921454,0.84957203,0.89339471,0.21246911,4.204822,0.559336,0.951156,7.0,31.848,True,452.75,7.14,True,452.67,7.117,17.539,2803
R2_4B_OPT_06014,6,11,333.0,64.0,69.0,1.0047,0.7628,0.912,0.8664,-0.0745,-0.0223,True,30.227267,acceptable_proxy_pass,none,0.536065,0.922006,0.463935,0.4404156,0.29717047,0.01454704,20.428243,0.655121,0.952824,7.0,12.634,True,451.0,5.476,True,451.002,5.454,11.618,2711.0
R2_4B_OPT_06228,8,11,360.0,18.0,0,1.066,0.9138,0.8455,0.9001,0.0967,0.0758,True,30.220206,fail_proxy,angular_fwhm_broad,0.284286,0.910696,0.715714,0.67416887,0.6717286,0.09134997,7.353353,0.606778,0.955901,7.0,28.966,True,454.0,7.105,True,453.884,6.974,14.864,3031.0
R2_4B_OPT_06792,4,12,240.0,80.0,31.0,0.8887,1.1203,1.1186,0.7751,-0.0663,-0.0726,True,30.197253,fail_proxy,angular_fwhm_broad,0.155475,0.801627,0.844525,0.73563001,0.77428923,0.15413947,5.023303,0.576305,0.953868,7.0,30.831,True,453.0,7.06,True,452.943,7.004,16.539,2614.0
R2_4B_OPT_06337,5,11,355.0,0,34.0,0.8794,1.25,0.8379,0.9377,0.0111,0.0811,True,30.128743,fail_proxy,angular_fwhm_broad,0.258607,0.86282,0.741393,0.67528494,0.6908148,0.10270503,6.726202,0.600489,0.956459,7.0,29.639,True,453.75,7.512,True,453.627,7.273,15.198,2755.0
R2_4B_OPT_06297,10,8,258.0,27.0,14.0,1.2328,1.0268,0.7611,0.7542,0.0501,-0.0592,True,30.121883,fail_proxy,angular_fwhm_broad,0.00602,0.862402,0.99398,0.90507969,0.96015462,0.26318679,3.648187,0.544125,0.947537,7.0,32.836,True,452.75,7.652,True,452.853,7.505,18.482,2889.0
R2_4B_OPT_02973,4,10,353,14,30,0.904,1.2346,0.8228,0.9203,-0.0223,0.0785,True,30.1062,fail_proxy,angular_fwhm_broad,0.143875,0.843105,0.856125,0.7688156,0.80699399,0.16556209,4.874268,0.57369,0.953899,7.0,30.909,True,452.75,7.985,True,452.711,7.892,16.69,2429
R2_4B_OPT_06354,4,10,360,0,22.0,0.8859,1.25,0.8208,0.8604,-0.0626,0.0819,True,30.099849,fail_proxy,angular_fwhm_broad,0.152561,0.91803,0.847439,0.80228752,0.81860483,0.1641728,4.986239,0.575646,0.953811,7.0,30.851,True,452.25,7.589,True,452.194,7.565,16.577,2357.0
R2_4B_OPT_06458,5,9,360,10.0,16.0,1.1184,1.1884,0.8017,0.75,0.058,0.1329,True,30.094921,fail_proxy,angular_fwhm_broad;spectral_fwhm_broad,0.001399,0.888386,0.998601,0.92615353,0.98149118,0.27124031,3.61853,0.54318,0.947212,7.0,32.867,True,452.75,8.456,True,452.756,8.424,18.542,2325.0
R2_4B_OPT_06615,8,5,333.0,19.0,90,0.7609,1.1298,0.8535,0.7794,0.1113,-0.0319,True,30.070338,acceptable_proxy_pass,none,0.375439,0.681049,0.624561,0.49507807,0.47624464,0.06371864,7.474181,0.588131,0.956149,7.5,14.708,True,453.5,7.365,True,453.568,7.362,13.746,2281.0
R2_4B_OPT_03261,8,12,332,56,79,0.8549,1.1876,0.8477,0.8616,-0.0753,0.0232,True,30.039153,acceptable_proxy_pass,none,0.498397,0.969502,0.501603,0.49165918,0.2933861,0.01462586,20.059413,0.663641,0.953536,7.0,13.036,True,450.75,5.56,True,450.641,5.397,12.081,3338
R2_4B_OPT_06517,7,9,329.0,57.0,78.0,1.1994,0.8987,0.9124,0.8663,0.1012,0.0855,True,29.990131,fail_proxy,angular_fwhm_broad,0.170007,0.829095,0.829993,0.73779029,0.76575786,0.14675266,5.218017,0.579612,0.954024,7.0,30.734,True,453.5,7.774,True,453.523,7.594,16.35,2739.0
R2_4B_OPT_04528,6,10,260,55,6,0.8747,0.9819,1.0373,0.8234,0.1221,0.0533,True,29.973215,fail_proxy,angular_fwhm_broad,0.382314,0.741627,0.617686,0.51395088,0.50030957,0.04899438,10.211571,0.624715,0.955601,7.0,27.955,True,453.75,6.318,True,453.84,6.311,13.601,2553
R2_4B_OPT_06143,7,11,255.0,63.0,34.0,1.1725,0.7773,0.8969,0.7716,0.0965,0.0732,True,29.951442,fail_proxy,angular_fwhm_broad,0.424732,0.962963,0.575268,0.56141879,0.45163472,0.03409257,13.247307,0.643163,0.955049,7.0,27.527,True,451.5,5.235,True,451.519,5.008,13.038,2688.0
R2_4B_OPT_01991,5,10,359,9,29,1.1481,1.1675,0.7569,0.7545,-0.0015,0.1242,True,29.948333,fail_proxy,angular_fwhm_broad;spectral_fwhm_broad,0.000118,0.910046,0.999882,0.94141934,0.9825955,0.27254527,3.605256,0.542919,0.947631,7.0,32.876,True,452.25,8.323,True,452.337,8.317,18.558,2436
R2_4B_OPT_00459,7,9,331,56,75,1.1485,0.9169,0.8883,0.8847,0.0691,0.087,True,29.92686,fail_proxy,angular_fwhm_broad,0.121286,0.826237,0.878714,0.77946686,0.81555618,0.17634731,4.624716,0.568655,0.952732,7.0,31.56,True,452.5,7.864,True,452.567,7.859,16.983,2736
R2_4B_OPT_06382,9,12,330.0,49.0,79.0,0.8791,1.1838,0.913,0.8505,-0.0655,-0.0017,True,29.919465,acceptable_proxy_pass,none,0.554281,0.957879,0.445719,0.43351597,0.27145729,0.01329879,20.412175,0.673207,0.951981,7.0,12.282,True,451.0,5.194,True,450.893,5.167,11.364,3523.0
R2_4B_OPT_06341,4,11,360,4.0,28.0,0.9274,1.208,0.7801,0.9225,-0.0086,0.1103,True,29.918924,fail_proxy,angular_fwhm_broad;spectral_fwhm_broad,0.109771,0.847651,0.890229,0.80207188,0.83602515,0.1859409,4.496187,0.566118,0.952842,7.0,31.638,True,453.5,8.248,True,453.553,8.102,17.133,2534.0
R2_4B_OPT_05501,4,11,242,64,35,0.8259,0.9055,0.9457,0.8522,0.0555,-0.1308,True,29.871091,fail_proxy,angular_fwhm_broad,0.34888,0.869412,0.65112,0.5958513,0.53160177,0.05680811,9.35785,0.623088,0.956264,7.0,28.534,True,451.75,5.952,True,451.671,5.743,14.025,2360
R2_4B_OPT_06476,6,11,360,11.0,23.0,1.1741,1.1948,0.7807,0.782,-0.0073,0.1132,True,29.867765,fail_proxy,angular_fwhm_broad;spectral_fwhm_broad,6e-05,0.952922,0.99994,0.96934129,0.97947163,0.27166099,3.605492,0.542907,0.947571,7.0,32.877,True,454.0,8.222,True,454.091,8.123,18.559,2788.0
R2_4B_OPT_03736,7,10,319,60,83,1.2327,0.884,1.0651,0.7589,-0.0621,-0.1084,True,29.848029,fail_proxy,angular_fwhm_broad,0.204144,0.73824,0.795856,0.66044558,0.68871067,0.12043119,5.718707,0.587507,0.955117,7.0,30.503,True,453.25,7.774,True,453.359,7.764,15.906,2845
R2_4B_OPT_06120,6,11,257.0,9.0,18.0,0.9717,0.9182,1.0158,0.7923,0.0329,-0.0973,True,29.797469,fail_proxy,angular_fwhm_broad,0.304112,0.846049,0.695888,0.62625212,0.58021506,0.07375214,7.867095,0.611708,0.956538,7.0,28.834,True,451.75,6.335,True,451.744,6.157,14.607,2597.0
R2_4B_OPT_06655,4,10,242.0,58.0,48.0,1.222,1.0654,0.9411,0.8895,0.1011,0.0541,True,29.762484,fail_proxy,angular_fwhm_broad,0.001295,0.796797,0.998705,0.86679406,0.90706,0.25053531,3.620488,0.543159,0.946914,7.0,32.868,True,452.5,7.939,True,452.431,7.739,18.543,2409.0
R2_4B_OPT_06658,6,10,243.0,57.0,51.0,1.0952,1.1099,0.9517,0.8416,0.0928,0.0375,True,29.74578,fail_proxy,angular_fwhm_broad,0.009276,0.867387,0.990724,0.90532554,0.92087166,0.25073596,3.672675,0.544792,0.947417,7.0,32.814,True,454.0,7.514,True,453.916,7.356,18.439,2699.0
R2_4B_OPT_06153,6,11,256.0,64.0,19.0,1.1491,0.7981,0.8635,0.792,0.1053,0.0314,True,29.745096,fail_proxy,angular_fwhm_broad,0.330942,0.976124,0.669058,0.65867495,0.54625136,0.06257505,8.729539,0.618487,0.955922,7.0,28.655,True,451.5,5.484,True,451.467,5.401,14.258,2543.0
R2_4B_OPT_02491,9,5,331,21,86,0.7611,1.1656,0.9109,0.7633,0.1469,-0.0225,True,29.741489,acceptable_proxy_pass,none,0.425823,0.628046,0.574177,0.43535801,0.38229973,0.03483423,10.974831,0.620635,0.955137,7.5,13.97,True,454.5,7.362,True,454.567,7.354,13.06,2471
R2_4B_OPT_06346,4,11,353.0,16.0,31.0,0.8929,1.2323,0.815,0.9841,-0.0203,0.1021,True,29.69213,fail_proxy,angular_fwhm_broad;spectral_fwhm_broad,0.161727,0.788889,0.838273,0.723243,0.74476932,0.14614294,5.09617,0.577724,0.954458,7.0,30.789,True,452.25,8.245,True,452.288,8.065,16.458,2632.0
R2_4B_OPT_06511,6,8,334.0,50.0,82.0,1.1152,0.894,0.7874,0.895,0.0646,0.0975,True,29.67989,fail_proxy,angular_fwhm_broad;spectral_fwhm_broad,0.157081,0.73722,0.842919,0.69894198,0.73122537,0.14498455,5.043471,0.576669,0.953929,7.0,30.82,True,452.5,8.206,True,452.617,8.142,16.518,2399.0
R2_4B_OPT_00407,5,11,244,62,44,1.117,1.0648,0.9545,0.8656,0.0984,0.0539,True,29.658569,fail_proxy,angular_fwhm_broad,0.009366,0.861294,0.990634,0.90131893,0.90117613,0.24531195,3.673592,0.54481,0.947387,7.0,32.814,True,452.0,7.524,True,451.914,7.374,18.438,2673
R2_4B_OPT_03047,6,11,245,60,34,1.2039,0.9668,0.833,0.8081,-0.0675,-0.0921,True,29.597433,fail_proxy,angular_fwhm_broad,0.024344,0.962944,0.975656,0.95215583,0.89162667,0.23619286,3.774994,0.547898,0.948414,7.0,32.713,True,451.5,6.852,True,451.555,6.81,18.244,2665
R2_4B_OPT_06449,4,9,360,17.0,13.0,1.1762,1.2125,0.7852,0.75,0.0028,0.15,True,29.592223,fail_proxy,angular_fwhm_broad;spectral_fwhm_broad,2.6e-05,0.862569,0.999974,0.91064643,0.92510413,0.25663089,3.604804,0.5429,0.947613,7.0,32.877,True,452.0,8.614,True,451.914,8.553,18.56,2167.0
R2_4B_OPT_05373,7,8,355,8,51,1.1887,1.0046,0.9287,0.7772,-0.1273,0.1057,True,29.590705,fail_proxy,angular_fwhm_broad;spectral_fwhm_broad,0.031362,0.814025,0.968638,0.85154556,0.87925106,0.22962196,3.829124,0.549356,0.94841,7.0,32.666,True,453.75,8.699,True,453.845,8.584,18.152,2565
R2_4B_OPT_06478,5,9,360,6.0,36.0,1.1165,1.2123,0.75,0.757,-0.0385,0.1311,True,29.575778,fail_proxy,angular_fwhm_broad;spectral_fwhm_broad,0.000941,0.857019,0.999059,0.90620883,0.92369403,0.25558355,3.614059,0.543087,0.94734,7.0,32.87,True,454.0,8.741,True,454.046,8.575,18.548,2336.0
R2_4B_OPT_06722,6,9,360,0,42.0,1.1839,1.0097,0.9121,0.7729,-0.1261,0.1451,True,29.57175,fail_proxy,angular_fwhm_broad;spectral_fwhm_broad,0.021465,0.84824,0.978535,0.88200787,0.90292033,0.24026312,3.758048,0.547302,0.947893,7.0,32.732,True,452.0,8.729,True,452.03,8.519,18.281,2510.0
R2_4B_OPT_02012,4,12,240,69,29,0.8586,1.1626,1.0881,0.8171,-0.0273,-0.0778,True,29.5617,fail_proxy,angular_fwhm_broad,0.188338,0.785948,0.811662,0.69873227,0.68318767,0.12495957,5.46727,0.583829,0.955082,7.0,30.61,True,452.0,7.076,True,451.888,6.922,16.112,2643
R2_4B_OPT_04915,8,6,259,33,47,0.8896,1.0352,0.8638,0.7536,0.0101,0.0166,True,29.525941,acceptable_proxy_pass,none,0.512069,0.783012,0.487931,0.41911187,0.35366986,0.03733816,9.472074,0.575418,0.955365,8.5,13.042,True,453.5,5.666,True,453.58,5.488,12.028,2259
R2_4B_OPT_05175,4,10,336,78,20,0.7557,1.0484,0.8607,1.0158,0.124,-0.0105,True,29.457474,fail_proxy,angular_fwhm_broad;spectral_fwhm_broad,0.133416,0.719537,0.866584,0.70860483,0.73222871,0.15369674,4.764113,0.571349,0.952787,7.0,30.978,True,452.25,8.392,True,452.289,8.358,16.826,2477
R2_4B_OPT_03766,6,12,351,5,40,0.9279,1.2167,0.9711,0.7781,-0.0911,0.0384,True,29.447277,fail_proxy,angular_fwhm_broad,0.206681,0.943466,0.793319,0.7641666,0.68195017,0.11829995,5.764585,0.588101,0.954946,7.0,29.986,True,451.25,7.261,True,451.287,7.097,15.873,2959
R2_4B_OPT_06230,7,10,349.0,38.0,11.0,1.1469,0.9034,0.7986,0.9874,0.0554,0.0508,True,29.441794,fail_proxy,angular_fwhm_broad;spectral_fwhm_broad,0.155367,0.722829,0.844633,0.69246267,0.71058915,0.14153863,5.020461,0.576281,0.953953,7.0,30.832,True,452.25,8.488,True,452.196,8.369,16.54,2853.0
R2_4B_OPT_06078,6,9,261.0,33.0,42.0,0.7647,0.9546,0.8365,0.8156,-0.0565,-0.032,True,29.423319,fail_proxy,angular_fwhm_broad,0.396253,0.935083,0.603747,0.57827145,0.43656362,0.03793655,11.507732,0.635507,0.955832,7.0,27.718,True,451.25,5.452,True,451.217,5.336,13.409,2273.0
R2_4B_OPT_06471,5,10,360,5.0,37.0,1.1275,1.1766,0.75,0.75,0.0162,0.1258,True,29.39213,fail_proxy,angular_fwhm_broad;spectral_fwhm_broad,0.000388,0.900033,0.999612,0.93465884,0.91133492,0.25255289,3.608491,0.542974,0.947505,7.0,32.874,True,454.5,8.465,True,454.472,8.373,18.555,2431.0
R2_4B_OPT_06579,7,11,315.0,68.0,72.0,1.206,0.9361,1.1351,0.75,-0.0673,-0.1429,True,29.384809,fail_proxy,angular_fwhm_broad;spectral_fwhm_broad,0.068987,0.691294,0.931013,0.74419643,0.77911292,0.18897515,4.122833,0.557289,0.950622,7.0,31.912,True,453.5,8.755,True,453.54,8.589,17.663,3034.0
R2_4B_OPT_03439,6,12,355,63,42,1.1618,0.7788,0.7907,0.7642,0.0441,0.1339,True,29.375936,fail_proxy,angular_fwhm_broad,0.377147,0.964495,0.622853,0.60847859,0.46664126,0.04425539,10.544281,0.630451,0.956168,7.0,27.846,True,455.0,6.329,True,455.036,6.227,13.657,2712
R2_4B_OPT_02381,5,10,317,69,80,1.1247,1.1783,0.8815,0.8914,0.1255,-0.0115,True,29.373403,fail_proxy,angular_fwhm_broad;spectral_fwhm_broad,0.006263,0.885754,0.993737,0.91994219,0.88916693,0.2433257,3.654225,0.544174,0.947058,7.0,32.834,True,454.5,8.021,True,454.471,7.983,18.479,2702
R2_4B_OPT_06460,6,10,360,8.0,41.0,1.1983,1.15,0.75,0.7732,-0.0635,0.1306,True,29.363439,fail_proxy,angular_fwhm_broad;spectral_fwhm_broad,0.000126,0.898877,0.999874,0.93415288,0.90273457,0.25001848,3.610671,0.542921,0.947097,7.0,32.876,True,454.5,8.393,True,454.548,8.38,18.558,2642.0
R2_4B_OPT_06329,4,10,360,3.0,20.0,0.8793,1.25,0.8102,0.9794,0.0279,0.1261,True,29.362677,fail_proxy,angular_fwhm_broad;spectral_fwhm_broad,0.174758,0.730234,0.825242,0.68053815,0.69247918,0.13133719,5.272529,0.580699,0.954739,7.0,30.702,True,454.0,8.521,True,453.906,8.351,16.288,2473.0
R2_4B_OPT_03734,6,10,337,11,60,1.2295,1.0723,0.8558,1.0378,-0.1207,-0.0136,True,29.351931,fail_proxy,angular_fwhm_broad;spectral_fwhm_broad,0.003091,0.707547,0.996909,0.80740227,0.85021969,0.23401853,3.63313,0.543526,0.946904,7.0,32.856,True,453.5,9.268,True,453.504,9.044,18.52,2923
R2_4B_OPT_06093,6,11,254.0,5.0,20.0,0.953,1.0356,1.0685,0.7896,0.0872,-0.1045,True,29.335254,fail_proxy,angular_fwhm_broad,0.198733,0.783179,0.801267,0.68834098,0.64824172,0.11500909,5.636439,0.586243,0.95481,7.0,30.54,True,454.25,7.097,True,454.369,6.926,15.976,2680.0
R2_4B_OPT_06089,6,11,262.0,3.0,13.0,0.9057,0.9603,1.0461,0.7913,0.0395,-0.055,True,29.307714,fail_proxy,angular_fwhm_broad,0.401109,0.823576,0.598891,0.53021264,0.41899604,0.03563341,11.758517,0.636802,0.955939,7.0,27.686,True,451.25,5.981,True,451.196,5.853,13.346,2606.0
R2_4B_OPT_05523,6,10,321,74,33,1.2077,0.8992,0.8795,1.0155,0.1287,-0.104,True,29.306824,fail_proxy,angular_fwhm_broad;spectral_fwhm_broad,0.135704,0.674554,0.864296,0.68146312,0.70639081,0.14745036,4.790703,0.57186,0.952837,7.0,30.963,True,453.75,8.552,True,453.655,8.411,16.796,2822
R2_4B_OPT_05309,6,6,345,62,24,1.0524,0.8536,0.7903,0.883,-0.1307,-0.1161,True,29.294491,fail_proxy,spectral_fwhm_broad,0.3399,0.564262,0.6601,0.4731403,0.45389475,0.07914764,5.734786,0.562439,0.956051,8.0,15.306,True,453.0,8.215,True,452.889,8.205,14.237,2054
R2_4B_OPT_06620,9,6,331.0,24.0,80.0,0.75,1.1861,0.9384,0.7549,0.15,-0.0053,True,29.294221,fail_proxy,angular_fwhm_broad,0.392237,0.676531,0.607763,0.47997799,0.45768969,0.04620386,9.905877,0.618212,0.955477,7.0,28.574,True,454.0,7.346,True,454.047,7.283,13.487,2611.0
R2_4B_OPT_00708,10,9,319,70,52,1.2426,1.0567,0.8999,0.7688,0.069,-0.1346,True,29.274988,fail_proxy,angular_fwhm_broad;spectral_fwhm_broad,0.002669,0.864617,0.997331,0.90956673,0.87842897,0.24215493,3.627549,0.54344,0.947204,7.0,32.859,True,454.5,8.307,True,454.504,8.12,18.525,3264
R2_4B_OPT_02276,7,11,232,5,83,1.165,0.9791,0.9128,1.0968,0.1288,-0.0497,True,29.258035,fail_proxy,angular_fwhm_broad;spectral_fwhm_broad,0.060737,0.609645,0.939263,0.70094305,0.74088177,0.18258598,4.057714,0.555532,0.949852,7.0,31.967,True,453.25,8.505,True,453.218,8.446,17.77,3164
R2_4B_OPT_06682,6,12,251.0,59.0,37.0,1.1629,0.9592,0.75,0.7951,-0.0759,-0.0782,True,29.250035,fail_proxy,angular_fwhm_broad,0.038798,0.964566,0.961202,0.93906331,0.82136224,0.2116184,3.881337,0.550908,0.949107,7.0,32.615,True,454.75,6.859,True,454.79,6.794,18.056,2711.0
R2_4B_OPT_06055,5,9,262.0,1.0,59.0,0.8112,0.9881,0.7874,0.7911,-0.1139,-0.0683,True,29.245589,fail_proxy,angular_fwhm_broad,0.299871,0.921766,0.700129,0.66452604,0.52491463,0.06753632,7.772331,0.610648,0.955851,7.0,28.862,True,451.25,6.035,True,451.151,5.867,14.662,2112.0
R2_4B_OPT_02762,6,8,326,58,76,1.0724,0.9151,0.8387,0.9662,-0.1111,-0.092,True,29.200599,fail_proxy,angular_fwhm_broad;spectral_fwhm_broad,0.17306,0.641158,0.82694,0.63405842,0.65194424,0.12392288,5.260887,0.58031,0.954041,7.0,30.713,True,452.25,8.479,True,452.242,8.442,16.31,2472
