FWHM_0deg,FWHM_nm,T448,T449,T450,T450_0deg,T450_10deg,T450_20deg,T450_30deg,T450_40deg,T450_50deg,T450_60deg,T451,T452,T453,TE_TM_split_20deg,TE_TM_split_40deg,Tpeak,Tpeak_0deg,angular_half_power_width_450,blue_448_453_mean,blue_448_453_min,candidate_id,compiled_layer_sequence,complex_index_reconstruction,defect_material_id,duplicate_group_id,energy_max,extrapolation_policy,failed_conditions,family_rank,gate,gate_pass,geometry,global_rank,high_index_material_id,interpolation_axis,interpolation_method,interpolation_source_quantity,logical_layer_sequence,low_index_material_id,material_model,material_policy_id,normal_to_40_60_ratio,objective,peak_count,peak_error_0deg,peak_error_nm,peak_shift_0_to_20deg,peak_wavelength_0deg,peak_wavelength_20deg,peak_wavelength_nm,physical_sequence_hash,propagation_direction,proposal,topology_id,total_layer_count,total_layer_count_compiled,total_layer_count_logical,total_thickness_nm
7.577569521014823,7.0,0.6681482818262252,0.790466363690852,0.8290683495427855,0.8290683495427242,0.5940258593944131,0.12947103691905973,0.035997455005367114,0.018072529948405545,0.01580813996400709,0.022434947474972496,0.759825491327226,0.6296594571907187,0.4955685419627265,0.05231123367137329,0.02428512114810188,0.8290683495427855,0.8303555422573388,14,0.7156794446376041,0.4955685419627265,EX_N3_L79_H46_C153,L79 H46 L79 H46 L79 H46 L153 H46 L79 H46 L79 H46 L79,physical_principal_square_root,APCD_SIO2_NATIVE_M1,DUP_2561dbf0df7e52e0,1.000000000000001,forbidden,,1,,true,"{""N"": 3, ""L_nm"": 79, ""H_nm"": 46, ""C_nm"": 153}",,APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,L79 H46 L79 H46 L79 H46 L153 H46 L79 H46 L79 H46 L79,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,43.25978017339625,FAB,1,-0.19999999999663487,0.0,-8.600000000001955,449.80000000000337,441.2000000000014,450.0,2561dbf0df7e52e0,GaN -> reverse(stack) -> Air,,Explicit,13,13.0,13,903.0
7.616815597696757,7.0,0.6420127569369722,0.7715985920911423,0.8292014086183932,0.8292014086184069,0.6240047082537556,0.13698356437204628,0.03751924210851989,0.01867895457679053,0.016244767955637267,0.022881900270173956,0.778763298274809,0.6560948937906739,0.5203195478939807,0.055380504019982096,0.02519429704824575,0.8292014086183932,0.8292014086184069,14,0.7206658467783251,0.5203195478939807,EX_N3_L77_H47_C152,L77 H47 L77 H47 L77 H47 L152 H47 L77 H47 L77 H47 L77,physical_principal_square_root,APCD_SIO2_NATIVE_M1,DUP_f40cf8fe9825d714,1.000000000000001,forbidden,,2,,true,"{""N"": 3, ""L_nm"": 77, ""H_nm"": 47, ""C_nm"": 152}",,APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,L77 H47 L77 H47 L77 H47 L152 H47 L77 H47 L77 H47 L77,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,42.88840704277647,FAB,1,3.410605131648481e-12,0.0,-8.600000000001955,450.0000000000034,441.40000000000146,450.0,f40cf8fe9825d714,GaN -> reverse(stack) -> Air,,Explicit,13,13.0,13,896.0
7.544540913509877,7.0,0.6575094561848384,0.7841390956211369,0.8299740160751793,0.8299740160751427,0.5991842709643977,0.1288207147671131,0.035754510359410074,0.01810208765020796,0.016113795011784057,0.023530803161787406,0.766329284183829,0.6377247081192798,0.5027569234724436,0.04942655903180651,0.024106811600170933,0.8299740160751793,0.8304688623294747,14,0.7170644241408579,0.5027569234724436,EX_N3_L80_H45_C155,L80 H45 L80 H45 L80 H45 L155 H45 L80 H45 L80 H45 L80,physical_principal_square_root,APCD_SIO2_NATIVE_M1,DUP_6de29261bf740127,1.000000000000002,forbidden,,3,,true,"{""N"": 3, ""L_nm"": 80, ""H_nm"": 45, ""C_nm"": 155}",,APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,L80 H45 L80 H45 L80 H45 L155 H45 L80 H45 L80 H45 L80,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,42.48932331589163,FAB,1,-0.09999999999661213,0.0,-8.700000000001978,449.9000000000034,441.2000000000014,450.0,6de29261bf740127,GaN -> reverse(stack) -> Air,,Explicit,13,13.0,13,905.0
4.677190464377418,4.5,0.7542915113313251,0.9764777957203074,0.9117192359253061,0.9117192359245878,0.3868757937240397,0.06071056186763914,0.018518320308957205,0.011835340970558467,0.014847160875165504,0.031713290468316,0.6539227894111181,0.4347988718863401,0.2945912349888151,0.029025163074291253,0.01861438592196575,0.9857064185728525,0.9928434521642052,10,0.6977565201685035,0.2945912349888151,ZL1_N3_M1_L79_H44,H44 L79 H44 L79 H44 L158 H44 L79 H44 L79 H44 L79,physical_principal_square_root,APCD_SIO2_NATIVE_M1,DUP_d9bd914fcbe8b6aa,1.0000000000000016,forbidden,,1,,true,"{""N"": 3, ""M_added"": 1, ""L_nm"": 79, ""H_nm"": 44, ""effective_central_L_thickness_nm"": 79}",,APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,H44 L79 H44 L79 H44 L79 L79 H44 L79 H44 L79 H44 L79,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,40.50392317159361,FAB,1,-0.6999999999967486,-0.5,-8.700000000001978,449.30000000000325,440.6000000000013,449.5,d9bd914fcbe8b6aa,GaN -> reverse(stack) -> Air,,ZL-1,12,12.0,13,817.0
4.69505075536199,4.0,0.7406968277640451,0.9706762941972602,0.9227433421658371,0.922743342165159,0.39450799994059277,0.06124360446294119,0.01870227934624386,0.01208049619960198,0.015452831639682774,0.03375144579874601,0.6691633334737782,0.4464994766134224,0.30268481481533627,0.02793785686545864,0.018898328555604936,0.9888911659943678,0.9924088573026544,10,0.7032678110116402,0.30268481481533627,ZL1_N3_M1_L80_H43,H43 L80 H43 L80 H43 L160 H43 L80 H43 L80 H43 L80,physical_principal_square_root,APCD_SIO2_NATIVE_M1,DUP_3c433232d47fccd1,1.0000000000000013,forbidden,,2,,true,"{""N"": 3, ""M_added"": 1, ""L_nm"": 80, ""H_nm"": 43, ""effective_central_L_thickness_nm"": 80}",,APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,H43 L80 H43 L80 H43 L80 L80 H43 L80 H43 L80 H43 L80,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,39.33705489296197,FAB,1,-0.5999999999967258,-0.5,-8.800000000002001,449.4000000000033,440.6000000000013,449.5,3c433232d47fccd1,GaN -> reverse(stack) -> Air,,ZL-1,12,12.0,13,818.0
4.724225440245732,4.0,0.7301813499148695,0.9651028832925748,0.9322651661745648,0.9322651661739279,0.403030703424592,0.06215489075171792,0.019020546258861966,0.012420139227319448,0.016201926629614824,0.03617704653803889,0.6842391596669457,0.4589246236137536,0.3116806177834074,0.026965694487739014,0.019318439744552593,0.9908821050992099,0.9927600991837524,10,0.7090969433850338,0.3116806177834074,ZL1_N3_M1_L81_H42,H42 L81 H42 L81 H42 L162 H42 L81 H42 L81 H42 L81,physical_principal_square_root,APCD_SIO2_NATIVE_M1,DUP_5d171567a8168718,1.000000000000001,forbidden,,3,,true,"{""N"": 3, ""M_added"": 1, ""L_nm"": 81, ""H_nm"": 42, ""effective_central_L_thickness_nm"": 81}",,APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,H42 L81 H42 L81 H42 L81 L81 H42 L81 H42 L81 H42 L81,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,37.88452840227787,FAB,1,-0.5999999999967258,-0.5,-8.800000000002001,449.4000000000033,440.6000000000013,449.5,5d171567a8168718,GaN -> reverse(stack) -> Air,,ZL-1,12,12.0,13,819.0
8.940060769582544,8.5,0.7608499366142765,0.8247877061762433,0.8101067830876909,0.8101067830875082,0.5790016435500352,0.15500990342905,0.04946567138898461,0.028666163706081715,0.029965044365424832,0.05022452174600835,0.7271136881978353,0.6141914471316123,0.5029174132220976,0.057482261781945265,0.041312606443140026,0.8276619524179517,0.8290314419329168,14,0.7203365532029881,0.5029174132220976,ZL2_N3_L79_H44,H44 L79 H44 L79 H44 L158 H44 L79 H44 L79 H44,physical_principal_square_root,APCD_SIO2_NATIVE_M1,DUP_ef676f186b8ff324,1.000000000000001,forbidden,,1,,true,"{""N"": 3, ""L_nm"": 79, ""H_nm"": 44, ""defect_origin"": ""natural_L_L_interface"", ""effective_defect_thickness_nm"": 158}",,APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,H44 L79 H44 L79 H44 L79 L79 H44 L79 H44 L79 H44,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,21.78182306593164,FAB,1,-0.6999999999967486,-0.5,-8.800000000002001,449.30000000000325,440.50000000000125,449.5,ef676f186b8ff324,GaN -> reverse(stack) -> Air,,ZL-2,11,11.0,12,738.0
8.971294041842896,8.5,0.7497160158454854,0.8214965958623341,0.8166617090394421,0.8166617090392907,0.5928170195552988,0.15774998052519,0.05004629740002316,0.029115147640179487,0.030777100716192822,0.05221539387345542,0.7406522551561245,0.6300949518030818,0.5180743391094927,0.055458047447808245,0.041652262393549466,0.8293696644406363,0.8294623211861887,14,0.7271516326290527,0.5180743391094927,ZL2_N3_L80_H43,H43 L80 H43 L80 H43 L160 H43 L80 H43 L80 H43,physical_principal_square_root,APCD_SIO2_NATIVE_M1,DUP_a8da3200487dd4dc,1.000000000000001,forbidden,,2,,true,"{""N"": 3, ""L_nm"": 80, ""H_nm"": 43, ""defect_origin"": ""natural_L_L_interface"", ""effective_defect_thickness_nm"": 160}",,APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,H43 L80 H43 L80 H43 L80 L80 H43 L80 H43 L80 H43,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,21.472150610791267,FAB,1,-0.5999999999967258,-0.5,-8.800000000002001,449.4000000000033,440.6000000000013,449.5,a8da3200487dd4dc,GaN -> reverse(stack) -> Air,,ZL-2,11,11.0,12,738.0
9.026252758380167,8.5,0.7395731028132604,0.8180320607265692,0.8225422413716958,0.8225422413715745,0.6073359084237311,0.1612467854221638,0.05091569497551273,0.029742598769008387,0.0317914971813574,0.05456177955290108,0.7539159092240597,0.6464069864795154,0.5341218680739667,0.05348724453638229,0.042214911841541136,0.8305276034611899,0.8305599507891216,14,0.7340318071285742,0.5341218680739667,ZL2_N3_L81_H42,H42 L81 H42 L81 H42 L162 H42 L81 H42 L81 H42,physical_principal_square_root,APCD_SIO2_NATIVE_M1,DUP_7d497fb3b67a8d9f,1.000000000000001,forbidden,,3,True,true,"{""N"": 3, ""L_nm"": 81, ""H_nm"": 42, ""defect_origin"": ""natural_L_L_interface"", ""effective_defect_thickness_nm"": 162}",,APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,H42 L81 H42 L81 H42 L81 L81 H42 L81 H42 L81 H42,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,21.03841518603481,FAB,1,-0.39999999999668034,-0.5,-9.000000000002046,449.6000000000033,440.6000000000013,449.5,7d497fb3b67a8d9f,GaN -> reverse(stack) -> Air,MDC_NATIVE_M1_FAB_PROPOSED,ZL-2,11,11.0,12,738.0
7.53883005885092,7.5,0.6198603709487449,0.7565278321831518,0.8278414914430887,0.8278414914431513,0.6334988806105813,0.13504240658437083,0.036846764040842674,0.01866401280344909,0.016823841483883786,0.025109717925129598,0.7895377745647765,0.6711649923531109,0.5341455660841076,0.04907783866984186,0.024739707840487235,0.8278414914430887,0.829137435468167,14,0.72155119843724,0.5341455660841076,EX_N3_L79_H45_C156,L79 H45 L79 H45 L79 H45 L156 H45 L79 H45 L79 H45 L79,physical_principal_square_root,APCD_SIO2_NATIVE_M1,DUP_1c082b664c72940c,1.0000000000000013,forbidden,,,,,"{""N"": 3, ""L_nm"": 79, ""H_nm"": 45, ""C_nm"": 156}",,APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,L79 H45 L79 H45 L79 H45 L156 H45 L79 H45 L79 H45 L79,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,41.374176909770455,,1,0.20000000000345608,0.0,-8.800000000002001,450.20000000000346,441.40000000000146,450.0,1c082b664c72940c,GaN -> reverse(stack) -> Air,,Explicit,13,13,13,900.0
