FWHM_nm,T448,T449,T450,T450_10deg,T450_20deg,T450_30deg,T450_40deg,T450_50deg,T450_60deg,T451,T452,T453,TE_TM_split_20deg,TE_TM_split_40deg,Tpeak,blue_448_453_mean,blue_448_453_min,candidate_id,compiled_layer_sequence,complex_index_reconstruction,defect_material_id,duplicate_group_id,energy_max,extrapolation_policy,failed_conditions,family_rank,gate_pass,geometry,high_index_material_id,interpolation_axis,interpolation_method,interpolation_source_quantity,logical_layer_sequence,low_index_material_id,material_model,material_policy_id,normal_to_40_60_ratio,objective,peak_count,peak_error_nm,peak_wavelength_nm,physical_sequence_hash,propagation_direction,topology_id,total_layer_count_compiled,total_layer_count_logical,total_thickness_nm
4.5,0.7542915113313251,0.9764777957203074,0.9117192359253061,0.3868757937240397,0.06071056186763914,0.018518320308957205,0.011835340970558467,0.014847160875165504,0.031713290468316,0.6539227894111181,0.4347988718863401,0.2945912349888151,0.029025163074291253,0.01861438592196575,0.9857064185728525,0.6709669065438687,0.2945912349888151,ZL1_N3_M1_L79_H44,H44 L79 H44 L79 H44 L158 H44 L79 H44 L79 H44 L79,physical_principal_square_root,APCD_SIO2_NATIVE_M1,DUP_d9bd914fcbe8b6aa,1.0000000000000016,forbidden,,1,true,"{""N"": 3, ""M_added"": 1, ""L_nm"": 79, ""H_nm"": 44, ""effective_central_L_thickness_nm"": 79}",APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,H44 L79 H44 L79 H44 L79 L79 H44 L79 H44 L79 H44 L79,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,37.77564958343716,FAB,1,-0.5,449.5,d9bd914fcbe8b6aa,GaN -> reverse(stack) -> Air,ZL-1,12.0,13,817
4.0,0.7406968277640451,0.9706762941972602,0.9227433421658371,0.39450799994059277,0.06124360446294119,0.01870227934624386,0.01208049619960198,0.015452831639682774,0.03375144579874601,0.6691633334737782,0.4464994766134224,0.30268481481533627,0.02793785686545864,0.018898328555604936,0.9888911659943678,0.6754106815049465,0.30268481481533627,ZL1_N3_M1_L80_H43,H43 L80 H43 L80 H43 L160 H43 L80 H43 L80 H43 L80,physical_principal_square_root,APCD_SIO2_NATIVE_M1,DUP_3c433232d47fccd1,1.0000000000000013,forbidden,,2,true,"{""N"": 3, ""M_added"": 1, ""L_nm"": 80, ""H_nm"": 43, ""effective_central_L_thickness_nm"": 80}",APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,H43 L80 H43 L80 H43 L80 L80 H43 L80 H43 L80 H43 L80,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,36.62779365858159,FAB,1,-0.5,449.5,3c433232d47fccd1,GaN -> reverse(stack) -> Air,ZL-1,12.0,13,818
4.0,0.7301813499148695,0.9651028832925748,0.9322651661745648,0.403030703424592,0.06215489075171792,0.019020546258861966,0.012420139227319448,0.016201926629614824,0.03617704653803889,0.6842391596669457,0.4589246236137536,0.3116806177834074,0.026965694487739014,0.019318439744552593,0.9908821050992099,0.6803989667410192,0.3116806177834074,ZL1_N3_M1_L81_H42,H42 L81 H42 L81 H42 L162 H42 L81 H42 L81 H42 L81,physical_principal_square_root,APCD_SIO2_NATIVE_M1,DUP_5d171567a8168718,1.000000000000001,forbidden,,3,true,"{""N"": 3, ""M_added"": 1, ""L_nm"": 81, ""H_nm"": 42, ""effective_central_L_thickness_nm"": 81}",APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,H42 L81 H42 L81 H42 L81 L81 H42 L81 H42 L81 H42 L81,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,35.21988481201218,FAB,1,-0.5,449.5,5d171567a8168718,GaN -> reverse(stack) -> Air,ZL-1,12.0,13,819
4.5,0.7979574788014127,0.9881281190543916,0.8818211043519668,0.3768699872730238,0.06186669984608809,0.018816606007637772,0.011638837554537929,0.013765259711359133,0.027450117017263603,0.6212201526824959,0.4127995261979027,0.2806819467013488,0.03342463068610989,0.018561920869814223,0.9881281190543916,0.6637680546315865,0.2806819467013488,ZL1_N3_M1_L76_H47,H47 L76 H47 L76 H47 L152 H47 L76 H47 L76 H47 L76,physical_principal_square_root,APCD_SIO2_NATIVE_M1,DUP_0b135abd9028a4d7,1.0000000000000013,forbidden,,4,true,"{""N"": 3, ""M_added"": 1, ""L_nm"": 76, ""H_nm"": 47, ""effective_central_L_thickness_nm"": 76}",APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,H47 L76 H47 L76 H47 L76 L76 H47 L76 H47 L76 H47 L76,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,40.08936225653415,FAB,1,-1.0,449.0,0b135abd9028a4d7,GaN -> reverse(stack) -> Air,ZL-1,12.0,13,814
4.5,0.7844776500795896,0.9855555558624366,0.8898592575630846,0.37734572698075874,0.0609642160600529,0.01856773802511813,0.011615181425873049,0.014012623702156524,0.02860061422558984,0.6286337659322454,0.4171570061324014,0.28313871054618356,0.03171409514602934,0.018444918948666542,0.9855555558624366,0.6648036576859901,0.28313871054618356,ZL1_N3_M1_L77_H46,H46 L77 H46 L77 H46 L154 H46 L77 H46 L77 H46 L77,physical_principal_square_root,APCD_SIO2_NATIVE_M1,DUP_34df042bd68df170,1.0000000000000016,forbidden,,5,true,"{""N"": 3, ""M_added"": 1, ""L_nm"": 77, ""H_nm"": 46, ""effective_central_L_thickness_nm"": 77}",APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,H46 L77 H46 L77 H46 L77 L77 H46 L77 H46 L77 H46 L77,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,39.448199653420495,FAB,1,-1.0,449.0,34df042bd68df170,GaN -> reverse(stack) -> Air,ZL-1,12.0,13,815
4.5,0.7694134099277381,0.9816183438117245,0.9003088790987526,0.38091283280053345,0.06060007239015602,0.01847149356796935,0.011680813086307074,0.014370680415347212,0.030010400000657342,0.63995633383591,0.4247417191048489,0.28792008898842447,0.03026758638558938,0.018463341222266345,0.9816183438117245,0.6673264624612331,0.28792008898842447,ZL1_N3_M1_L78_H45,H45 L78 H45 L78 H45 L156 H45 L78 H45 L78 H45 L78,physical_principal_square_root,APCD_SIO2_NATIVE_M1,DUP_42471dc1670449b5,1.000000000000002,forbidden,,6,true,"{""N"": 3, ""M_added"": 1, ""L_nm"": 78, ""H_nm"": 45, ""effective_central_L_thickness_nm"": 78}",APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,H45 L78 H45 L78 H45 L78 L78 H45 L78 H45 L78 H45 L78,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,38.69822484521607,FAB,1,-1.0,449.0,42471dc1670449b5,GaN -> reverse(stack) -> Air,ZL-1,12.0,13,816
10.5,0.8715454714706498,0.9572754591278505,0.9926247057144868,0.829482088467289,0.24394401603599108,0.07450733509241653,0.041659029205785,0.04344947378139975,0.0772165946409942,0.9667471612298458,0.8901795876780927,0.7857983437648952,0.07913351285639325,0.05608809499653669,0.9926247057144868,0.9106951214976368,0.7857983437648952,ZL1_N2_M3_L78_H46,H46 L78 H46 L312 H46 L78 H46 L78,physical_principal_square_root,APCD_SIO2_NATIVE_M1,DUP_580bc0bd3477d643,1.0000000000000009,forbidden,T450_20deg;ratio,7,false,"{""N"": 2, ""M_added"": 3, ""L_nm"": 78, ""H_nm"": 46, ""effective_central_L_thickness_nm"": 234}",APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,H46 L78 H46 L78 L78 L78 L78 H46 L78 H46 L78,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,18.21641742577863,FAB,1,0.0,450.0,580bc0bd3477d643,GaN -> reverse(stack) -> Air,ZL-1,8.0,11,730
8.0,0.818765019074975,0.9453726196317946,0.9927238945573948,0.6964292426030056,0.14160166853287137,0.043408397579852466,0.029247385878727033,0.04499640995754905,0.1466100970775183,0.937420134278371,0.8119518558300443,0.6676292093343901,0.04935242371424506,0.03999840974925275,0.9927238945573948,0.8623104554511615,0.6676292093343901,ZL1_N2_M5_L79_H44,H44 L79 H44 L474 H44 L79 H44 L79,physical_principal_square_root,APCD_SIO2_NATIVE_M1,DUP_dc57445bdf1a4800,1.0000000000000013,forbidden,ratio,8,false,"{""N"": 2, ""M_added"": 5, ""L_nm"": 79, ""H_nm"": 44, ""effective_central_L_thickness_nm"": 395}",APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,H44 L79 H44 L79 L79 L79 L79 L79 L79 H44 L79 H44 L79,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,13.436837598481523,FAB,1,0.0,450.0,dc57445bdf1a4800,GaN -> reverse(stack) -> Air,ZL-1,8.0,13,887
11.0,0.9036326180808358,0.9756527015007606,0.9906481398752836,0.7888263991852469,0.23030046025177042,0.07277942078258882,0.04206728161567781,0.04551857364636979,0.08358221222940358,0.9450679494082725,0.8559852610777078,0.7475818584043488,0.0703985217361216,0.056062675179210514,0.9910411086702579,0.9030947547245348,0.7475818584043488,ZL1_N2_M3_L79_H44,H44 L79 H44 L316 H44 L79 H44 L79,physical_principal_square_root,APCD_SIO2_NATIVE_M1,DUP_ebc3bbd7681f1feb,1.0000000000000009,forbidden,T450_20deg;ratio,9,false,"{""N"": 2, ""M_added"": 3, ""L_nm"": 79, ""H_nm"": 44, ""effective_central_L_thickness_nm"": 237}",APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,H44 L79 H44 L79 L79 L79 L79 H44 L79 H44 L79,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,16.938516415883157,FAB,1,-0.5,449.5,ebc3bbd7681f1feb,GaN -> reverse(stack) -> Air,ZL-1,8.0,11,729
8.5,0.7321030376644054,0.876736489369341,0.9758226117669793,0.7946893397038233,0.158366006369904,0.04492634027713651,0.02825738032194374,0.04011339744522924,0.121668722609204,0.9831808024644312,0.8968530241393108,0.7599725817118845,0.059171174192185316,0.038926868933725475,0.9925139562925027,0.8707780911860588,0.7321030376644054,ZL1_N2_M5_L78_H47,H47 L78 H47 L468 H47 L78 H47 L78,physical_principal_square_root,APCD_SIO2_NATIVE_M1,DUP_bac0a2d33b1c98b3,1.0000000000000009,forbidden,ratio,10,false,"{""N"": 2, ""M_added"": 5, ""L_nm"": 78, ""H_nm"": 47, ""effective_central_L_thickness_nm"": 390}",APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,H47 L78 H47 L78 L78 L78 L78 L78 L78 H47 L78 H47 L78,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,16.15687098275846,FAB,1,0.5,450.5,bac0a2d33b1c98b3,GaN -> reverse(stack) -> Air,ZL-1,8.0,13,890
8.5,0.7608499366142765,0.8247877061762433,0.8101067830876909,0.5790016435500352,0.15500990342905,0.04946567138898461,0.028666163706081715,0.029965044365424832,0.05022452174600835,0.7271136881978353,0.6141914471316123,0.5029174132220976,0.057482261781945265,0.041312606443140026,0.8276619524179517,0.7066611624049592,0.5029174132220976,ZL2_N3_L79_H44,H44 L79 H44 L79 H44 L158 H44 L79 H44 L79 H44,physical_principal_square_root,APCD_SIO2_NATIVE_M1,DUP_ef676f186b8ff324,1.000000000000001,forbidden,,1,true,"{""N"": 3, ""L_nm"": 79, ""H_nm"": 44, ""defect_origin"": ""natural_L_L_interface"", ""effective_defect_thickness_nm"": 158}",APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,H44 L79 H44 L79 H44 L79 L79 H44 L79 H44 L79 H44,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,20.759839167692796,FAB,1,-0.5,449.5,ef676f186b8ff324,GaN -> reverse(stack) -> Air,ZL-2,11.0,12,738
8.5,0.7497160158454854,0.8214965958623341,0.8166617090394421,0.5928170195552988,0.15774998052519,0.05004629740002316,0.029115147640179487,0.030777100716192822,0.05221539387345542,0.7406522551561245,0.6300949518030818,0.5180743391094927,0.055458047447808245,0.041652262393549466,0.8293696644406363,0.7127826444693267,0.5180743391094927,ZL2_N3_L80_H43,H43 L80 H43 L80 H43 L160 H43 L80 H43 L80 H43,physical_principal_square_root,APCD_SIO2_NATIVE_M1,DUP_a8da3200487dd4dc,1.000000000000001,forbidden,,2,true,"{""N"": 3, ""L_nm"": 80, ""H_nm"": 43, ""defect_origin"": ""natural_L_L_interface"", ""effective_defect_thickness_nm"": 160}",APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,H43 L80 H43 L80 H43 L80 L80 H43 L80 H43 L80 H43,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,20.459366736238902,FAB,1,-0.5,449.5,a8da3200487dd4dc,GaN -> reverse(stack) -> Air,ZL-2,11.0,12,738
8.5,0.7395731028132604,0.8180320607265692,0.8225422413716958,0.6073359084237311,0.1612467854221638,0.05091569497551273,0.029742598769008387,0.0317914971813574,0.05456177955290108,0.7539159092240597,0.6464069864795154,0.5341218680739667,0.05348724453638229,0.042214911841541136,0.8305276034611899,0.7190986947815112,0.5341218680739667,ZL2_N3_L81_H42,H42 L81 H42 L81 H42 L162 H42 L81 H42 L81 H42,physical_principal_square_root,APCD_SIO2_NATIVE_M1,DUP_7d497fb3b67a8d9f,1.000000000000001,forbidden,,3,true,"{""N"": 3, ""L_nm"": 81, ""H_nm"": 42, ""defect_origin"": ""natural_L_L_interface"", ""effective_defect_thickness_nm"": 162}",APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,H42 L81 H42 L81 H42 L81 L81 H42 L81 H42 L81 H42,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,20.043382496757904,FAB,1,-0.5,449.5,7d497fb3b67a8d9f,GaN -> reverse(stack) -> Air,ZL-2,11.0,12,738
8.5,0.793834759977774,0.8314334815828194,0.789742527506269,0.5478264328910623,0.15213352531882676,0.04954659242174615,0.028367012320185278,0.02863135857245302,0.04610058979620294,0.6912933980969064,0.5754357526552827,0.4679857036575028,0.0644676949193555,0.04166077254234202,0.8314334815828194,0.6916209372460923,0.4679857036575028,ZL2_N3_L76_H47,H47 L76 H47 L76 H47 L152 H47 L76 H47 L76 H47,physical_principal_square_root,APCD_SIO2_NATIVE_M1,DUP_4c63b77971ca6977,1.000000000000001,forbidden,,4,true,"{""N"": 3, ""L_nm"": 76, ""H_nm"": 47, ""defect_origin"": ""natural_L_L_interface"", ""effective_defect_thickness_nm"": 152}",APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,H47 L76 H47 L76 H47 L76 L76 H47 L76 H47 L76 H47,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,21.057739456921755,FAB,1,-1.0,449.0,4c63b77971ca6977,GaN -> reverse(stack) -> Air,ZL-2,11.0,12,738
8.5,0.7834243621212696,0.8297617201736283,0.7961403348520883,0.5559349612427269,0.15211628359708926,0.0492017407198668,0.028291225298771025,0.028899888386982313,0.04719022041275538,0.7017355020726729,0.5862375185418638,0.47740382011159893,0.06191864100790445,0.04131007975371745,0.8297617201736283,0.695783876312187,0.47740382011159893,ZL2_N3_L77_H46,H46 L77 H46 L77 H46 L154 H46 L77 H46 L77 H46,physical_principal_square_root,APCD_SIO2_NATIVE_M1,DUP_49571a3f876ef9de,1.0000000000000013,forbidden,,5,true,"{""N"": 3, ""L_nm"": 77, ""H_nm"": 46, ""defect_origin"": ""natural_L_L_interface"", ""effective_defect_thickness_nm"": 154}",APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,H46 L77 H46 L77 H46 L77 L77 H46 L77 H46 L77 H46,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,21.044881691524182,FAB,1,-1.0,449.0,49571a3f876ef9de,GaN -> reverse(stack) -> Air,ZL-2,11.0,12,738
8.5,0.7722826525771276,0.8275808267693745,0.8031217127995605,0.5665103178791262,0.15310487682537882,0.04918038574970572,0.028391770836292175,0.029342428862733708,0.04855799939264728,0.7139128136832945,0.5993575412292578,0.4891954768972958,0.059614487347420406,0.0411969578865189,0.8275808267693745,0.7009085039926518,0.4891954768972958,ZL2_N3_L78_H45,H45 L78 H45 L78 H45 L156 H45 L78 H45 L78 H45,physical_principal_square_root,APCD_SIO2_NATIVE_M1,DUP_7463c0afb6246a28,1.0000000000000018,forbidden,,6,true,"{""N"": 3, ""L_nm"": 78, ""H_nm"": 45, ""defect_origin"": ""natural_L_L_interface"", ""effective_defect_thickness_nm"": 156}",APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,H45 L78 H45 L78 H45 L78 L78 H45 L78 H45 L78 H45,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,20.951013419874897,FAB,1,-1.0,449.0,7463c0afb6246a28,GaN -> reverse(stack) -> Air,ZL-2,11.0,12,738
